101_bat_copy,102_bat_copy,103_bat_copy,104_bat_copy,105_bat_copy,106_bat_copy,109_bat_copy,111_bat_copy,112_bat_copy,113_bat_copy,114_bat_copy,116_bat_copy,117_bat_copy,118_bat_copy,119_bat_copy,120_bat_copy,121_bat_copy,122_bat_copy,123_bat_copy,124_bat_copy,125_bat_copy,126_bat_copy,127_bat_copy,129_bat_copy,130_bat_copy,131_bat_copy,132_bat_copy,134_bat_copy,135_bat_copy,136_bat_copy,137_bat_copy,138_bat_copy,139_bat_copy,140_bat_copy,141_bat_copy,101_kit_copy,102_kit_copy,103_kit_copy,104_kit_copy,105_kit_copy,106_kit_copy,109_kit_copy,111_kit_copy,112_kit_copy,113_kit_copy,114_kit_copy,116_kit_copy,117_kit_copy,118_kit_copy,119_kit_copy,120_kit_copy,121_kit_copy,122_kit_copy,123_kit_copy,124_kit_copy,125_kit_copy,126_kit_copy,127_kit_copy,129_kit_copy,130_kit_copy,131_kit_copy,132_kit_copy,134_kit_copy,135_kit_copy,136_kit_copy,137_kit_copy,138_kit_copy,139_kit_copy,140_kit_copy,141_kit_copy
-0.22851592,-0.15559086,-0.0735434,0.016150005,-0.039064333,-0.01330521,-0.04534351,-0.13180587,-0.31656402,-0.031843945,-0.2338365,-0.13642247,-0.1903252,-0.14658967,-0.19695689,-0.19847706,-0.19245738,-0.18297884,-0.11783842,-0.16137655,-0.2025511,-0.2303968,-0.073752485,-0.15407169,-0.18510738,-0.23898122,-0.31307292,-0.011176355,0.05747629,-0.0055101365,-0.2639805,0.029867776,-0.07966826,-0.113232896,-0.13255215,0.024570823,0.2433042,0.15843417,-0.14862373,-0.058845393,-0.119000845,0.030889332,0.029535271,-0.037292153,-0.049389787,0.042750858,0.108452454,0.08280371,-0.06336738,0.10866271,-0.05953163,0.12319439,-0.12419285,-0.14192991,-0.0761699,0.070809454,-0.051151738,-0.045926362,0.08356926,-0.013667479,-0.15553114,0.15634018,0.08187777,0.04047413,0.12436493,0.006650768,-0.04182884,0.14186972,0.16983859,-0.014769539
-0.13815211,-0.107761554,-0.29321232,-0.36615032,-0.224852,-0.349227,-0.31245956,-0.26189673,-0.19237763,-0.34221366,-0.11926034,-0.1525165,-0.23643163,-0.0446667,-0.2298367,-0.32746542,-0.19124606,-0.16362813,-0.21866575,-0.0955162,-0.27092016,-0.2672603,-0.11950092,-0.43739566,-0.29415226,-0.2265793,-0.2280446,-0.35185203,-0.26259193,-0.16131426,-0.17306632,-0.2614661,-0.23916872,-0.28627992,-0.23837084,-0.51053023,-0.27981648,-0.2220085,-0.15294361,-0.21414372,-0.10679664,-0.14734858,-0.3534186,-0.3001333,-0.2886416,-0.3661727,-0.26721057,-0.19145656,-0.22363219,-0.33107167,-0.24521637,-0.1990465,-0.25829613,-0.020312175,-0.1509754,-0.31128561,-0.4308963,-0.18499267,-0.32981354,-0.21762702,-0.3614495,-0.26474267,-0.15160584,-0.27239305,-0.25544608,-0.16279332,-0.46753186,-0.16345567,-0.19608873,-0.30870008
0.19019309,0.13490401,0.2611053,0.26051068,0.068463214,0.11599691,0.2354549,0.16981375,0.20733705,0.14179492,0.36734492,0.34503782,0.21420099,0.20662917,0.05687575,0.23606074,0.19664744,0.04422365,0.1746823,0.2567255,0.18457288,0.2885783,0.14695956,0.22226867,0.2080116,0.23330832,0.2143855,0.201984,0.23389591,0.15357275,0.15765668,0.3072089,0.3373224,0.22164643,0.23386423,0.07427528,0.05933118,0.1552996,0.4599572,-0.041643396,0.22349963,-0.073752575,0.20243062,0.27423355,0.23837812,0.0031801164,0.08618688,0.1079367,0.23397917,0.38528118,0.13063262,-0.05720514,0.043689802,0.10483429,-0.15021268,0.1424287,0.066043556,0.023768067,0.117662065,0.17499541,0.19925052,0.3637679,0.07734664,0.23304315,0.31788063,0.037038695,0.21826082,-0.07828607,-0.12906282,0.21073774
0.35335833,0.3310849,0.24630709,0.05667317,-0.022531718,0.025583565,0.104028076,0.2453851,0.27989334,0.26169983,0.4389132,0.14318548,-0.013147995,0.19031335,0.08601918,0.13824177,0.24098934,-0.06935601,0.29768708,0.047752142,0.025029287,0.10137081,0.15485825,0.21293572,0.27346766,0.11611462,0.36643276,0.21651614,0.30567813,0.037590012,0.22045282,0.03474614,0.49839193,0.18565221,0.116198,0.3217823,0.14759676,0.25373676,0.15368444,0.18441695,-0.25761053,-0.1227158,0.29252416,0.07989492,0.23712517,0.0046417117,0.043870002,0.25317356,0.021911636,-0.016206741,0.26038793,0.08414632,0.2938437,0.045169815,0.09187548,0.30043018,0.050472125,0.22393386,0.15127149,0.19602928,0.19683224,-0.02316098,0.2205914,0.2408853,0.16702914,0.11168453,0.3648489,0.2413052,0.20224518,-0.02106589
0.1609756,0.27509642,0.3185159,0.3209126,0.44049954,0.4958858,0.13167371,0.24445482,0.12489054,0.29577944,0.32153165,0.30264777,0.22843435,0.31001395,0.25214237,0.21257058,0.37977302,0.2511391,0.23323521,0.060147196,0.413202,0.2995506,0.18949974,0.1528259,0.12369961,0.38940203,0.1653564,0.23969662,0.15207815,0.07733254,0.3148048,0.39051008,0.04405655,0.24368784,0.22798929,0.29618996,0.11741135,0.2445685,0.30352834,0.35887632,0.38458288,0.264035,0.25524163,0.28078076,0.36174533,0.39193496,0.38219458,0.3115858,0.439239,0.43210024,0.24953178,0.13873215,0.2837073,0.21657477,0.30279136,0.28266403,0.3822803,0.30726144,0.17000695,0.3047258,0.20765221,0.32678068,0.29015422,0.2735229,0.36812526,0.41525346,0.2459796,0.13971387,0.09656811,0.3884073
-0.14962018,-0.21409263,-0.17179897,-0.17954795,-0.08021721,0.018546611,-0.22837365,-0.33596724,-0.037819386,-0.10373628,-0.105461165,-0.18498948,-0.45224208,-0.20076425,-0.0122291,-0.31145215,-0.049235314,-0.33170816,-0.18663354,-0.2441108,-0.12455252,-0.15106452,-0.28171188,-0.19905114,-0.2016762,-0.10512239,-0.351407,-0.10138451,-0.25646293,-0.3382675,-0.050486073,-0.01747413,-0.22079484,-0.25519133,-0.15278657,-0.31637362,-0.33897936,-0.25925654,-0.27933258,-0.4744072,-0.0595406,-0.19355902,-0.32578546,-0.25086674,-0.3223139,-0.41643244,-0.1188021,-0.39667472,-0.056715652,-0.21857965,-0.33154857,-0.24555889,-0.28138214,-0.26419696,-0.38940558,-0.43452513,-0.3420058,-0.5454536,-0.1906369,-0.43437782,-0.17684697,-0.35883197,-0.42983136,-0.41415042,-0.38914382,-0.21357626,-0.21666974,-0.33506772,-0.5537316,-0.26621318
0.49852785,0.69120663,0.79120475,0.53467095,0.5393571,0.5603035,0.5831826,0.63509583,0.62885547,0.36774254,0.24020705,0.5088747,0.57026166,0.43776482,0.2996028,0.7076701,0.4712308,0.635359,0.51148254,0.60027057,0.65263915,0.6629599,0.45246837,0.6075963,0.52232957,0.5620937,0.58070254,0.5619541,0.81149733,0.4659,0.6007727,0.6257654,0.5879025,0.67698294,0.7197476,0.7186923,0.56272554,0.84011513,0.52237284,0.5517037,0.53219676,0.4313184,0.8045407,0.6591792,0.6527395,0.6101142,0.6055198,0.64136344,0.70775586,0.6120316,0.5662042,0.47763926,0.6591177,0.44654965,0.6552531,0.73338246,0.6172676,0.6755399,0.62288284,0.56102276,0.41750357,0.7102997,0.8055927,0.71291435,0.77645195,0.558445,0.6565062,0.52246726,0.70235336,0.68718064
0.3573416,0.2815341,0.4380452,0.5135966,0.41917428,0.16788504,0.5171613,0.5087464,0.34017032,0.25197208,0.38708442,0.453021,0.4086972,0.46412343,0.47564113,0.4876662,0.27833277,0.43109015,0.52839524,0.29599082,0.2939973,0.29413283,0.21426946,0.22363725,0.3089292,0.20573388,0.31020278,0.19400507,0.37102574,0.28990385,0.31300136,0.5724575,0.31277603,0.32369685,0.6157316,0.2854084,0.60200715,0.1645582,0.5755352,0.40547502,0.41445547,0.5066758,0.20554318,0.2906759,0.34469044,0.4611582,0.2537967,0.35793743,0.3685309,0.36808527,0.334063,0.43912888,0.38322926,0.51040494,0.39306495,0.3752317,0.11598849,0.2556615,0.2585801,0.21028452,0.45143062,0.4551065,0.16173658,0.28375876,0.35802165,0.4647556,0.29890525,0.41328517,0.37449133,0.3247916
0.2886031,-0.07352227,0.1596395,0.24427526,0.19177362,0.122430734,0.20224908,0.22806224,0.17318451,0.11239456,0.18189237,0.06021592,-0.025909558,0.04865671,-0.0058932453,0.13993046,0.14979409,0.11030587,0.011616677,0.40666032,0.1678418,0.30316183,0.034010455,0.28840798,0.16234356,0.32309276,0.14057444,0.13037042,0.1277242,0.34159508,0.22933826,0.33751053,-0.08188048,0.008848071,0.26238972,0.07604587,-0.24353269,-0.0422822,0.03205295,-0.08397641,0.4756564,-0.026453972,-0.10222119,0.08522113,-0.14089522,-0.11896142,0.12214479,0.09471461,0.3758909,0.13596788,-0.06821426,0.03215584,-0.055869546,0.010510206,-0.03510693,0.07768689,0.07495656,-0.040644147,-0.00062024593,0.0931537,0.27112246,-0.09683889,-0.060136415,-0.0065724403,-0.045504794,0.30365247,0.11048928,-0.12061033,0.005288616,-0.00421384
-0.057957053,-0.016023874,-0.09270939,-0.08254874,-0.13360752,0.011700526,-0.21798569,-0.07050249,-0.019950628,-0.09773335,-0.17324027,-0.26510698,0.039672703,-0.10870886,-0.036057696,0.09676677,0.021917567,0.07822713,-0.10471809,0.16714278,0.122748144,-0.014821023,-0.1351351,-0.0940398,0.02286905,0.02080223,0.015801042,-0.08089742,-0.016376704,0.12450555,0.05788389,-0.1025264,-0.118579894,-0.07055089,0.16100302,-0.06928155,0.13044629,-0.14299811,-0.062099814,-0.00052669644,0.03486275,-0.012433872,-0.11044961,-0.1156618,-0.017333299,-0.036351815,-0.17148475,0.0084474385,-0.24441124,-0.0032386333,0.05818665,-0.11961846,-0.07121214,0.07289897,0.03985256,-0.0546481,-0.24543208,0.02543421,-0.114580646,-0.12639794,0.047166288,0.24756688,-0.2079784,-0.036264718,-0.15359938,0.01370728,-0.19084108,0.029838845,-0.14627868,-0.115038365
