101_bat_copy,102_bat_copy,103_bat_copy,104_bat_copy,105_bat_copy,106_bat_copy,109_bat_copy,111_bat_copy,112_bat_copy,113_bat_copy,114_bat_copy,116_bat_copy,117_bat_copy,118_bat_copy,119_bat_copy,120_bat_copy,121_bat_copy,122_bat_copy,123_bat_copy,124_bat_copy,125_bat_copy,126_bat_copy,127_bat_copy,129_bat_copy,130_bat_copy,131_bat_copy,132_bat_copy,134_bat_copy,135_bat_copy,136_bat_copy,137_bat_copy,138_bat_copy,139_bat_copy,140_bat_copy,141_bat_copy,101_kit_copy,102_kit_copy,103_kit_copy,104_kit_copy,105_kit_copy,106_kit_copy,109_kit_copy,111_kit_copy,112_kit_copy,113_kit_copy,114_kit_copy,116_kit_copy,117_kit_copy,118_kit_copy,119_kit_copy,120_kit_copy,121_kit_copy,122_kit_copy,123_kit_copy,124_kit_copy,125_kit_copy,126_kit_copy,127_kit_copy,129_kit_copy,130_kit_copy,131_kit_copy,132_kit_copy,134_kit_copy,135_kit_copy,136_kit_copy,137_kit_copy,138_kit_copy,139_kit_copy,140_kit_copy,141_kit_copy
0.7282481,0.84765136,0.023645042,0.9362903,0.76961344,0.39725566,1.0668453,0.3206769,0.27566764,0.566812,0.90687233,0.031863138,0.3873825,0.50218964,0.86545163,1.2514043,0.055875577,0.86195594,0.3309875,0.48184934,0.12345024,0.26719335,0.24626392,-0.08578487,0.8372254,0.6808911,0.678393,0.43285856,1.4064238,0.6148515,0.12162028,0.5566412,0.5852812,0.5985011,0.8816746,0.3572719,0.026466606,-0.55205154,0.30419636,-0.08215113,-0.36323372,-0.33427912,0.36232704,-0.5038977,-0.060399067,-0.16518143,-0.43129024,-0.2817745,-0.16231762,0.8371494,0.72224724,-0.059612483,0.027490642,-0.80121344,-0.028733473,-0.3022173,-0.08916748,0.08832704,-0.1205843,0.14669484,0.24178633,-0.86669695,-0.18402553,0.71429276,-0.45489186,-0.5711925,0.24198654,0.36032593,0.8405718,-0.319446
0.07405414,0.75147915,0.6606431,0.3063154,0.052358422,0.37029046,0.33454874,-0.14406794,0.40565625,0.3791985,0.8661615,0.35410878,0.20985627,0.68075037,0.42938977,0.44015333,0.03563558,0.40591872,0.1539935,0.31920967,0.49379957,0.2180245,0.21986647,-0.14314991,0.9794147,0.3324798,0.6273128,0.38463455,0.3901836,0.36273268,0.576933,0.07912138,0.630382,0.24191578,0.38830662,0.5077911,0.8381703,0.18820842,1.0440284,1.1463175,0.042650767,0.17819872,0.88457763,0.0115006035,0.45233646,0.76700765,0.7633449,0.54429525,1.1502417,0.6431774,0.87366885,-0.41715133,0.06218959,0.91215944,0.85495037,0.32536232,1.0285038,0.85038567,0.93971854,0.8268441,-0.12195541,0.37795207,0.5048102,0.8666098,1.2871963,-0.036395945,0.5862834,0.6453076,0.36149272,0.25908354
0.20085636,0.15013823,0.7217292,0.3451669,0.013122697,0.16773395,1.0926774,0.006636358,0.35476145,0.7941403,0.20699863,0.46998978,0.21902588,1.0857579,0.2193817,0.13040264,0.3054048,-0.24406832,0.83058304,0.16453543,-0.34540835,0.4465815,0.78317875,0.061242346,0.6055277,0.066419825,0.0055342284,0.7212294,-0.13359459,0.13128796,0.090871915,0.3461474,0.5667005,-0.2130643,-0.12981486,0.79055125,1.1759953,0.96497554,0.34831268,0.9233339,0.1460692,0.5040975,0.44110444,0.48494372,0.26467413,0.58731943,0.8061405,0.9403532,1.0429951,0.5769802,0.4939111,0.55769396,0.2831592,0.33277556,-0.033366106,0.2981093,0.4366457,0.6845007,0.3428974,0.44256732,-0.23504516,-0.14439645,0.8844671,0.7536823,0.5201218,-0.10392975,0.63959986,0.43263006,0.78883654,0.3846123
0.14209358,-0.7488931,0.08342888,-0.30246717,-0.87555224,-0.37658402,-0.37465152,-0.31966949,0.3529848,-0.3622483,-0.4809178,-0.14700598,-0.3028981,-0.28075218,-0.67337793,-1.3099523,0.018989086,-1.1218714,-0.15878902,-0.4421605,-0.49619448,-0.7361918,0.011718927,-0.32186532,-0.6201442,-0.7334677,-0.62164533,-0.2790202,-0.3889599,-0.53059566,-0.709411,0.23681144,-0.05405774,-1.2322481,-0.7142869,0.51678234,0.79166824,0.126054,-0.21205112,-0.94850004,-0.538884,-0.8009864,0.45415545,0.6850583,0.16853401,-0.039728843,0.25931916,-0.121403925,-0.91027844,0.19983424,0.09062024,0.3779629,0.2563266,-0.26021552,0.25625873,0.026487572,0.52998555,0.074212626,0.8901266,-0.13647132,-0.12828517,0.579877,0.35235217,0.2633079,0.17000152,-0.6213226,-0.18024525,0.38115036,-0.5044178,0.15157919
1.1775477,0.83016914,0.6623304,0.1779493,-0.2709414,0.73942214,0.2752007,0.4920799,0.47387493,1.5802418,0.7920116,0.3052688,0.34622154,1.1057475,0.43012226,1.4069254,0.6761083,0.72162056,0.2205902,0.8292195,0.72742635,0.9952144,0.3418521,0.57230836,0.071270354,0.24689676,0.23883651,0.44302556,-0.19366394,0.5894447,0.60042316,0.20460504,1.2286919,0.9548147,0.23384854,0.7773983,1.0373175,1.2162045,0.77316093,0.2591367,0.28230733,0.57877594,0.83748853,1.1579368,1.1541915,0.9299741,0.62203455,1.500153,1.1337334,1.3347299,1.2564434,0.56370056,0.5483771,1.1377289,0.47418028,0.582981,0.3962335,0.58948594,0.57060874,1.1819866,0.20864251,0.306696,1.1114179,1.3554796,0.71307343,0.8324992,0.4998246,0.62751186,0.9863925,0.5925324
0.29432115,0.30730495,0.33490682,0.59619945,0.046196964,-0.37107828,0.81079763,0.3865373,0.6913751,0.76243883,0.45707664,0.82686394,0.36433792,0.7247277,-0.3749667,0.26118615,0.36795017,0.002251805,0.95684505,0.22130859,0.028563138,0.73720884,0.9394108,0.71011513,0.5724198,0.057093944,0.9530498,1.0225459,1.0305244,0.64642173,0.22177769,0.09407382,0.47389325,0.24557734,-0.14955765,0.6594783,1.0602915,0.6845147,0.2558671,0.55765975,0.011656884,0.46996716,0.62591785,0.8244955,0.5453623,0.5972508,0.9053114,0.55843765,0.3760854,0.42205438,0.57456076,0.60057557,0.3916594,0.41965637,0.14327116,0.91430724,0.72105646,0.7021027,0.64207697,0.8204253,0.0934877,0.84319353,0.59774494,0.5730486,0.75250226,0.23847835,0.60486513,1.1975307,0.7061169,0.2953383
-0.2941849,-0.20185803,-0.09183057,-0.01904922,0.3455546,-0.112569325,-0.25218943,-0.053402428,0.06403073,-0.08582004,0.35572925,-0.3954043,-0.047986317,0.4315169,0.345643,0.7160562,0.6275418,0.20747493,-0.3721266,0.76041734,-0.20616849,0.23721437,-0.03311639,-0.074525915,-0.026166504,0.23584762,-0.66597074,0.49012017,0.74006975,0.06017358,-0.03661303,-0.8057655,0.0528898,0.25449666,0.055228718,-0.6230975,-0.10604487,-0.26131767,-0.004377019,-0.099205405,0.42799827,-0.8078592,0.15450168,-0.20001382,0.11671795,-0.19414729,-0.8358713,-0.08301249,0.1839594,-0.17432803,-0.21621953,-1.0340742,0.112021245,-0.09019082,0.022481732,-0.3386672,0.5424421,0.50464624,0.18469426,-0.24189506,-0.70508504,-0.017597893,0.18817928,0.13165846,-0.5797867,-0.15660092,-0.12218853,-0.3286298,-0.25953326,0.27429718
-1.3972915,-0.50664234,-0.99930686,-0.7880391,-1.054009,-0.2636149,-0.5319293,0.28685692,-0.18565698,-0.34320968,-0.51453656,-0.20582227,-0.7766443,-0.46294174,-0.9529068,-0.15129384,-0.8159845,-0.67184734,-1.4543895,-0.78322476,-1.102592,-0.31891322,-0.7242079,-0.85870284,-0.22119215,-0.6655104,-0.86493796,-0.4534964,-0.94920546,-0.28704298,-0.40319103,-1.5311141,-0.6768292,-0.8255997,-0.9914615,-0.023116698,-0.020592729,-0.37053186,-1.0513542,-0.45566973,-0.556423,-1.4102552,-1.2822012,-0.37247524,-1.280129,-1.1087283,-0.9195662,-0.34261355,-1.8163705,-1.574332,-0.03784262,-0.35695925,-1.0342127,-0.9574857,-0.8194466,-0.6600897,-1.4577053,-0.47035083,0.027864637,-0.16060895,-1.039571,-1.1067649,-0.2863562,0.11424931,0.042093556,-1.632415,-0.27770117,-0.20236695,0.027002808,-0.64681035
-0.6570779,-0.45729896,-0.7716211,-0.33471945,-0.64221483,-0.77763236,-0.25578955,-0.005133254,-0.2439158,-0.063649036,-0.5121484,-0.7636445,-0.8958393,-0.7274393,-0.420279,-0.59248644,-0.31411254,-0.5815283,-0.6673233,-0.38023505,-0.35225037,-0.12454195,-0.102959074,-0.06844491,-0.1260396,-0.2461112,-0.19866246,0.18617076,-0.6430032,-0.56782687,0.003105702,-1.0529311,-0.74200946,-0.99443024,-0.9577831,-0.4663336,-0.31417355,-1.3606567,-1.4445211,-1.1508682,-0.042229854,-0.83731925,-1.1797769,0.17325206,-0.37419105,0.118031934,-0.9048807,-0.9260978,-1.2535214,-1.2395124,-1.2007252,-0.5136567,-1.3521606,-0.5722725,-0.7275664,-1.6715962,-0.83490026,-1.226274,-0.50715035,-1.3168637,-1.148716,-1.2862089,-1.3432238,-1.3957497,-0.71466863,-0.95473963,-0.884657,-0.94890636,-1.2818666,-0.9147308
1.6302065,1.2086331,1.8232079,0.7177055,2.1009395,1.4727969,1.1631954,1.6308024,1.5683609,1.6964657,1.7704422,1.5836701,1.7913674,2.1187608,1.4389683,0.9588958,1.6250916,1.1292042,1.3584776,2.2307208,1.4278936,0.99013376,1.5495005,1.0080254,1.2506251,0.9666393,1.3162585,2.1843655,1.4707009,1.001588,1.2531143,0.76041377,2.518888,1.3719847,1.1391114,2.5210872,2.619564,1.0042263,1.6661006,2.0059857,1.2985674,1.374997,2.8346126,1.9705888,2.0631247,2.0428705,0.9785843,2.2705617,0.49529034,1.1738204,2.6621327,1.7023442,2.1762178,1.5241804,1.6495396,2.721913,2.0980558,2.3477921,1.861172,1.4034318,1.5472693,2.1304708,2.5694401,1.3656031,1.5881664,1.4950417,2.2127938,1.4002461,1.7235085,2.19802
1.6310003,1.1094764,1.2593386,1.1405809,1.5572177,0.29670778,1.2120805,0.6927939,0.86772,1.4225775,0.19840267,1.1235034,1.1253849,1.5953003,1.4084677,0.7555087,0.5937938,0.56402993,1.1131914,0.4729983,0.6033327,1.2612222,1.0264577,0.93924814,1.0172644,0.8660177,1.0678073,0.95333695,0.28004318,0.88834906,1.0512705,1.5766811,0.987397,0.8018977,1.2402177,1.3669776,1.6519608,0.9201965,1.8964884,1.2323432,0.8096081,0.78947407,1.4945824,0.08090872,1.4101142,1.2372609,0.9917692,2.0587647,1.4150202,1.6557682,1.9327472,0.31484804,0.98570335,0.26668698,0.67694485,1.0356318,1.3436009,1.0259184,0.42190948,0.975804,1.5910618,0.55303043,1.560497,0.56875527,1.3012049,1.0276588,0.5419379,1.3453357,1.9199557,1.1905729
