201_bed_copy,202_bed_copy,203_bed_copy,204_bed_copy,205_bed_copy,206_bed_copy,207_bed_copy,208_bed_copy,209_bed_copy,210_bed_copy,211_bed_copy,212_bed_copy,213_bed_copy,214_bed_copy,215_bed_copy,216_bed_copy,217_bed_copy,218_bed_copy,219_bed_copy,220_bed_copy,221_bed_copy,222_bed_copy,224_bed_copy,225_bed_copy,226_bed_copy,227_bed_copy,228_bed_copy,229_bed_copy,230_bed_copy,231_bed_copy,232_bed_copy,233_bed_copy,234_bed_copy,235_bed_copy,236_bed_copy,237_bed_copy,238_bed_copy,240_bed_copy,241_bed_copy,242_bed_copy,243_bed_copy,244_bed_copy,201_liv_copy,202_liv_copy,203_liv_copy,204_liv_copy,205_liv_copy,206_liv_copy,207_liv_copy,208_liv_copy,209_liv_copy,210_liv_copy,211_liv_copy,212_liv_copy,213_liv_copy,214_liv_copy,215_liv_copy,216_liv_copy,217_liv_copy,218_liv_copy,219_liv_copy,220_liv_copy,221_liv_copy,222_liv_copy,224_liv_copy,225_liv_copy,226_liv_copy,227_liv_copy,228_liv_copy,229_liv_copy,230_liv_copy,231_liv_copy,232_liv_copy,233_liv_copy,234_liv_copy,235_liv_copy,236_liv_copy,237_liv_copy,238_liv_copy,240_liv_copy,241_liv_copy,242_liv_copy,243_liv_copy,244_liv_copy
-0.012633905,0.05120296,0.1780433,0.13084796,0.16366568,0.025447205,0.36794978,-0.02663356,-0.09528575,0.011128336,-0.04055561,-0.03788589,-0.06967817,-0.09920773,-0.17376783,-0.0954339,-0.10125691,-0.010560557,0.037761092,0.04783151,-0.044407606,0.026264586,0.009541832,0.022445034,0.21811569,-0.047379434,-0.12211486,0.09134209,-0.06976016,0.01563526,-0.061227515,-0.046744436,0.16610995,-0.1270272,-0.010615595,0.041856155,-0.022920579,-0.046765633,-0.08165708,0.13299686,0.19819704,-0.0458574,0.15645808,0.021578148,0.024800569,0.253893,-0.017077763,0.073905475,-0.10136522,0.04530321,0.17019604,0.16479093,0.10977064,0.15004706,0.019098714,-0.1726658,0.14718121,0.08215166,0.056549393,0.2517777,0.05012931,0.080447964,0.06493974,0.051884294,0.064781666,0.15979213,0.040742405,-0.031007096,-0.09851862,-0.025142387,0.19553609,0.22140029,0.05111076,0.06757755,0.043537214,0.070462555,-0.020688742,-0.03558354,0.06933376,0.06990909,0.0448872,-0.19777729,0.043048307,0.18079007
-0.2194522,-0.13381597,-0.24864805,-0.32684413,-0.17933953,-0.28181475,-0.27318123,-0.23407534,-0.17298841,-0.20266177,-0.18639359,-0.21915036,-0.3023783,-0.36615086,-0.39451066,-0.21306273,-0.17752498,0.05546144,-0.2606181,-0.2776341,-0.2643343,-0.17936796,-0.19926679,-0.20725423,-0.19022784,-0.32295555,-0.44852686,-0.17523986,-0.32013088,-0.30060652,-0.32474372,-0.11353156,-0.104747385,-0.16734947,0.0034662485,0.020970382,-0.25649983,-0.25940192,-0.36543214,-0.29712757,-0.37738124,-0.25204712,-0.15475616,-0.21747465,-0.36425096,-0.23438713,-0.103396,-0.29549792,-0.26115537,-0.21749355,-0.20310307,-0.14033681,-0.3353499,-0.32855347,-0.16288477,-0.24704444,-0.16841263,-0.36439613,-0.43321764,-0.31865528,-0.25480586,-0.1611418,-0.26129925,-0.30714625,-0.1837445,-0.38928282,-0.11817399,-0.12591049,-0.23989987,-0.14025465,-0.33506912,-0.3144111,-0.24774706,-0.2573228,-0.21745381,-0.2545237,-0.29118365,-0.25913447,-0.39793837,-0.07941723,-0.2116693,-0.28984204,-0.33401838,-0.19667296
0.23888399,0.2673843,0.27021843,0.36778265,0.21677402,0.31494474,0.11902338,0.23963428,0.18289465,0.2764672,0.16273841,0.16543552,0.21851966,0.14810267,0.2590818,0.23907539,0.20604382,0.26304153,0.27453563,0.29062933,0.24965557,0.19188485,0.10352609,0.12645034,0.48113263,0.30502954,0.35741726,0.15377417,0.30221105,0.18826215,0.17762578,0.38906568,0.26226315,0.23784696,0.10290265,0.40399957,0.15175733,0.26049125,0.09139416,0.14760663,0.33915854,0.23703076,0.18539391,0.26438737,0.28447443,0.23728108,0.23626055,0.21290097,0.18381801,0.20040599,0.36156297,0.17995395,0.26840943,0.2776342,0.11011021,0.17735499,0.21962577,0.20964155,0.3355003,0.28807682,0.23827621,0.2746979,0.22864948,0.08884581,0.23989889,0.3383046,0.078559235,0.10263312,0.12229842,0.13821204,0.30895102,0.15489824,0.2161697,0.25050148,0.24787475,0.1384277,0.03249889,0.17767066,0.1657277,0.17695451,0.24346355,0.24533898,0.15421212,0.24954441
0.11307073,0.22560483,0.029786706,0.20852685,0.21071881,0.07096264,0.04658094,0.013766676,0.25134242,0.29440996,0.41341016,0.222405,0.25080737,0.084951356,0.22796932,-0.14049974,0.14801237,0.21288085,0.05346483,0.022019058,0.24496233,0.11145845,0.13116063,0.17076601,0.29441458,0.14036337,0.15911749,0.24633187,0.32136297,0.30676162,0.18707359,0.1330549,0.24554822,0.44487965,0.06664616,0.12974909,0.024914145,0.03573355,-0.03553042,-0.097278684,0.119690776,0.07120542,-0.21078107,0.24127525,0.18252733,-0.33220127,0.32032856,-0.03525439,0.25498813,-0.05416645,-0.0015227348,0.15817448,0.40194228,-0.07818777,0.13029549,0.2136,0.2850287,0.07219912,-0.08931422,0.05830729,-0.077823035,0.17662323,0.18748371,0.23729733,-0.11940688,0.049870357,0.06174417,-0.38301936,0.11425896,0.15193161,0.1019094,0.18829805,0.08729361,0.33189675,0.05347073,0.18718857,-0.19007665,-0.14369808,-0.01636231,0.0065501034,0.028543621,0.115109086,0.03261067,0.09530479
0.38745952,0.20809859,0.2550268,0.48622245,0.23800969,0.22058305,0.49512923,0.49478808,0.47202945,0.22039494,0.21050729,0.24288066,0.2706082,0.33684504,0.37569273,0.3368858,0.32565048,0.29239216,0.40218326,0.18732376,0.2312583,0.2778779,0.2495836,0.116503134,0.2771294,0.36855817,0.5374611,0.2672668,0.27590293,0.27547508,0.20311093,0.2511477,0.36236838,0.18173705,0.43744722,0.26008254,0.39932254,0.35207283,0.6725592,0.43799162,0.32069403,0.44730616,0.5167882,0.24521062,0.4708236,0.4962386,0.31297252,0.32590806,0.19968325,0.40046018,0.48583278,0.23947884,0.27645567,0.3899758,0.34515315,0.40103737,0.29081112,0.37356985,0.5500105,0.4870137,0.5631423,0.4290772,0.38874316,0.44594505,0.21874982,0.3727686,0.43330002,0.5119487,0.31159216,0.38600886,0.31290364,0.30188322,0.47908795,0.36080956,0.37608585,0.23856902,0.4241786,0.37679255,0.5247152,0.4528018,0.49258342,0.35393977,0.3981889,0.3622317
-0.5558197,-0.47538304,-0.4608123,-0.30504385,-0.43202454,-0.2602086,0.011010334,-0.32899904,-0.33397096,-0.5491426,-0.4049801,-0.3363533,-0.5799324,-0.3091516,-0.09356156,-0.35214335,-0.41798478,-0.46981764,-0.24734494,-0.3903125,-0.39537364,-0.46626276,-0.39089867,-0.2005092,-0.12897305,-0.315873,-0.39641234,-0.122652575,-0.40963772,-0.29279053,-0.47957242,-0.4194916,-0.45081595,-0.2866979,-0.12149911,-0.49809092,-0.07254532,-0.4683935,-0.20554441,-0.16326195,-0.14943819,-0.45371863,0.15571481,-0.41444567,-0.22440937,-0.1449002,-0.48100662,-0.2551788,-0.18378541,-0.116921544,-0.2510702,-0.3886369,-0.48379672,-0.37239358,-0.29165426,-0.4961986,-0.22679642,-0.18070602,-0.14778975,-0.06382531,-0.061016724,-0.22851075,-0.29905993,-0.44780853,0.098034084,-0.39163744,-0.114751264,-0.031110406,-0.27432093,-0.30443537,-0.19115745,-0.15711935,-0.2678952,-0.2109918,-0.29153618,-0.23609465,-0.20227338,-0.5045283,-0.15188754,-0.34794468,-0.092232764,-0.24404034,-0.4009501,-0.46386677
0.6356039,0.052229643,0.41550496,0.6175862,0.4470273,0.33974668,0.41405928,0.6263926,0.33103025,0.40052718,0.46081272,0.48685795,0.42910248,0.4647701,0.4967987,0.12656552,0.57360274,0.3935622,0.39170846,0.2426872,0.35535702,0.0942837,0.32466808,0.5943649,0.5451304,0.4744394,0.48692444,0.36961028,0.5298368,0.5993724,0.4986648,0.35657823,0.32898125,0.4813537,0.5602752,0.35648212,0.31491047,0.37223715,0.6169534,0.4735381,0.4059968,0.38488096,0.7622725,0.6449342,0.78679204,0.8029391,0.58436984,0.6157298,0.3337435,0.7410319,0.8513337,0.59793144,0.517794,0.6612247,0.597716,0.6316364,0.556598,0.5577576,0.62237793,0.57712626,0.54189575,0.74750143,0.55292946,0.64623547,0.6723519,0.71420276,0.66501254,0.52842355,0.55771494,0.391612,0.63693476,0.744154,0.6105205,0.45997736,0.4233894,0.51846576,0.7052244,0.27327526,0.49780545,0.64500237,0.71822584,0.48164076,0.5044635,0.6459286
0.38882294,0.4322986,0.33204708,0.28802624,0.24382788,0.5888669,0.4997093,0.3788145,0.16150343,0.4078549,0.3744082,0.30410105,0.18242285,0.3462649,0.3627033,0.7299066,0.41428906,0.4588465,0.3177232,0.49298912,0.26608405,0.29920244,0.22186589,0.3903758,0.32790193,0.417745,0.4866827,0.43315554,0.25032347,0.31856883,0.30615494,0.34210843,0.32633376,0.3426714,0.44233242,0.40679634,0.4729417,0.34071612,0.3618261,0.5180248,0.36287013,0.17915167,0.25576428,0.39681542,0.17294092,0.53118134,0.16071494,0.37989077,0.3277492,0.31816244,0.2587558,0.37484595,0.19600594,0.15646854,0.28957278,0.24624819,0.44256288,0.446324,0.28993103,0.23805422,0.26589447,0.11664882,0.3370552,0.24402206,0.3360253,0.32610622,0.43122187,0.43381116,0.29760647,0.32188958,0.17126456,0.2152819,0.34715542,0.4596458,0.45069718,0.2998264,0.3286687,0.41025394,0.41532215,0.47847518,0.42164364,0.41836923,0.30300856,0.2992779
0.105089575,0.07539523,0.19490455,0.29629594,0.16472736,0.072975054,0.06669968,0.24769321,-0.0024811924,0.10840674,-0.050504267,0.10776715,-0.09929507,0.1363793,0.30002064,0.24455214,0.04995653,0.13200557,0.23992333,0.18124063,0.07420557,-0.07793744,-0.06761885,0.2140359,0.10223693,0.1941953,0.036676094,0.3332107,0.09749907,0.21044777,0.2066489,0.010766879,0.0873891,0.019038625,0.40650624,0.087011084,0.18824065,0.04010164,0.43602562,0.1970061,0.074855015,0.084876,0.36416847,0.23412696,0.2180545,0.58630526,-0.063786335,0.3757281,0.32820618,0.09531239,0.3619126,0.1125295,-0.021960966,0.16852288,0.20927852,-0.142902,0.08971265,0.3653416,0.48111385,0.33581042,0.13648,0.15049186,0.08900255,0.023142174,0.44250196,0.40415874,-0.06029597,0.55668795,0.27686048,0.32833424,0.28567037,0.17403084,0.17776772,0.070058346,0.21566282,0.1080371,0.5229564,0.28998807,0.19162399,0.5013659,0.51639706,0.18631016,0.2789861,0.08754074
-0.07534602,-0.13758382,-0.17582926,-0.20796081,-0.12947308,-0.15655655,0.003031373,-0.053659707,-0.07117489,-0.13699672,-0.05189702,-0.12627193,-0.08877322,-0.22057824,-0.16020179,-0.05787927,-0.009298503,0.04496768,0.08463168,-0.10434033,-0.168379,0.030762717,-0.19800837,-0.021967232,-0.07905125,-0.12471247,-0.088912755,-0.009039789,-0.2464943,-0.24818698,-0.056174964,-0.12891404,-0.16998675,-0.10379356,-0.016536057,-0.12263985,0.0011372864,-0.1284447,-0.088452876,-0.08575474,-0.09143926,-0.039842144,-0.07845437,-0.13026363,-0.073505044,-0.116396934,-0.05534982,-0.12962879,0.035999566,-0.14824682,-0.21180476,-0.12957758,-0.10041779,-0.039850414,-0.041221425,-0.19675696,-0.029385492,-0.06793296,-0.071580425,-0.08777577,0.023364797,-0.08013263,-0.21499342,-0.24397773,-0.15400359,-0.17341149,0.016477957,0.11589861,-0.2318638,0.08704858,-0.26782525,-0.16915485,-0.14891024,0.096251905,-0.048587233,-0.16446899,-0.07951529,-0.086632475,-0.10326782,-0.06694493,-0.18774101,-0.23253939,0.034730405,-0.07503404
