201_bed_copy,202_bed_copy,203_bed_copy,204_bed_copy,205_bed_copy,206_bed_copy,207_bed_copy,208_bed_copy,209_bed_copy,210_bed_copy,211_bed_copy,212_bed_copy,213_bed_copy,214_bed_copy,215_bed_copy,216_bed_copy,217_bed_copy,218_bed_copy,219_bed_copy,220_bed_copy,221_bed_copy,222_bed_copy,224_bed_copy,225_bed_copy,226_bed_copy,227_bed_copy,228_bed_copy,229_bed_copy,230_bed_copy,231_bed_copy,232_bed_copy,233_bed_copy,234_bed_copy,235_bed_copy,236_bed_copy,237_bed_copy,238_bed_copy,240_bed_copy,241_bed_copy,242_bed_copy,243_bed_copy,244_bed_copy,201_liv_copy,202_liv_copy,203_liv_copy,204_liv_copy,205_liv_copy,206_liv_copy,207_liv_copy,208_liv_copy,209_liv_copy,210_liv_copy,211_liv_copy,212_liv_copy,213_liv_copy,214_liv_copy,215_liv_copy,216_liv_copy,217_liv_copy,218_liv_copy,219_liv_copy,220_liv_copy,221_liv_copy,222_liv_copy,224_liv_copy,225_liv_copy,226_liv_copy,227_liv_copy,228_liv_copy,229_liv_copy,230_liv_copy,231_liv_copy,232_liv_copy,233_liv_copy,234_liv_copy,235_liv_copy,236_liv_copy,237_liv_copy,238_liv_copy,240_liv_copy,241_liv_copy,242_liv_copy,243_liv_copy,244_liv_copy
0.02868403,0.81822836,0.196933,-0.0034487238,0.015477616,0.6560107,0.49016425,0.4118658,0.13740721,-0.22780904,0.3707356,0.5073053,-0.10560497,1.2680218,0.5855986,0.30445495,0.5979341,0.41989458,-0.049254913,-0.056864724,1.0811554,0.5203645,0.48144156,0.62692314,0.3940907,0.43284222,0.10977321,0.36559722,0.26760423,0.4584481,0.83079803,0.05275592,0.2858587,1.0904523,-0.04663522,0.57348627,0.7054691,0.648597,0.14883883,0.22737573,0.36012638,0.55275756,0.14225006,-0.16650178,0.084822245,0.28380838,-0.34479466,-0.43333334,-0.055257387,-0.3716979,-0.4117384,0.19992742,0.12979211,-0.080288306,-0.19084297,0.4027298,-0.049013257,-0.26972264,0.34580573,-0.4955137,-0.5065666,-0.45018855,-0.3169708,0.117640965,-0.16858609,-0.8457026,0.15906338,-0.1738457,-0.40930566,-0.29792777,-0.07001655,-0.123602845,-0.2949244,-0.04219297,-0.15245163,-0.25498885,-0.16069576,0.9721195,0.08097061,-0.9642069,-0.2664846,0.24471672,0.16446911,-0.6969902
-0.057471756,0.4941401,0.634394,0.24057329,0.8822126,0.34831324,0.11259426,1.0323175,0.3998185,0.41769361,-0.12171804,0.30313504,0.8438852,-0.6939657,-0.5847155,0.5206099,0.36471957,0.55877095,0.63134944,0.53554875,0.9942706,-0.084110916,0.15438339,0.48312774,1.1047086,-0.18547764,0.18400149,1.3482873,0.8968281,0.026637757,-0.2435671,0.5427747,0.39181307,0.23468772,0.59796256,0.7696178,0.7190121,0.7559609,0.8895385,0.22492452,0.55175406,0.4335086,0.056037053,0.73124236,1.2285495,1.1536437,0.6993928,-0.13582923,0.4937514,1.0039787,1.7391688,0.14927356,1.0686927,0.9489325,0.68335044,0.33836195,0.6643959,0.43448213,0.12927702,0.39943755,0.45839345,0.31269637,0.5752929,0.8485778,-0.5057834,0.11262375,0.48101124,-0.24091825,0.80312824,0.8998179,0.87214404,0.56295,0.647036,1.340961,1.5484067,0.90154487,0.9519992,-0.052348975,0.81144184,0.9213753,0.77356684,0.6828166,0.8942063,0.5573291
-0.12079645,0.02541562,0.5012272,-0.013282497,0.3238997,-0.07267241,0.3990544,0.7563995,0.018919025,0.14822061,-0.054619823,0.60035723,0.089538224,-0.44340593,-0.060335007,0.055298787,-0.046497308,0.21647802,-0.108539954,0.27091825,0.5520858,0.17662643,0.3256912,-0.25431195,-0.09659496,0.1746023,-0.29892823,0.16522278,0.34827158,0.4130178,-0.3404398,0.3483064,-0.01015172,0.3442524,0.34165135,0.41622505,0.4918883,0.5272438,0.31238094,-0.09163247,0.7800907,0.61124796,1.146944,-0.048714653,1.1505015,0.36837167,0.12706338,0.2575369,0.5821673,1.2798349,0.70471317,0.80973256,0.3794099,0.5470844,0.8157516,0.5981005,0.13438323,0.70013803,0.721125,0.44662485,0.9321278,0.93122655,0.9685662,0.7321045,-0.3047178,0.23159371,0.48568147,0.38040543,0.7918359,0.88623625,1.0274817,1.3008703,1.1133269,1.0346466,1.0328684,0.73894083,1.3858051,0.24088132,0.6676366,1.0365031,0.78420293,0.31038392,0.73627394,0.69108653
-0.8199314,-0.23529422,-0.84843963,-0.78927857,0.15631045,-0.07682186,-0.6099995,-0.65802073,-1.3044871,-0.31662062,-0.4375039,-0.5397377,-0.80653495,-0.88908994,-0.20311862,-0.81465685,-0.07861331,-0.46466315,-0.36738598,-0.79601276,-0.50294447,-0.050838314,-0.2188862,0.36738822,-0.4074085,-0.3898228,-0.8000571,-1.1271175,-0.47381854,-0.79967386,0.022820173,-0.2999593,-1.0910501,-0.30692968,-0.23062691,0.09598032,-0.4730265,-0.8665246,-0.37817025,-1.7204876,-0.068660095,0.12864666,0.12035127,-0.62068397,0.3699821,-1.2988484,0.34131956,-0.3027509,-0.52476555,-0.5241064,0.0840483,0.6636348,0.18080226,-0.503614,-0.12390828,0.64305353,-1.2338947,-0.21575144,-0.1307761,0.3616282,-0.4952125,0.24935058,0.047245737,-0.15361595,0.047133323,-0.6501505,-0.52025914,0.03862369,-0.36403385,-0.75058776,-0.17364056,-0.050042216,0.15109992,-0.41313958,-0.69403446,0.080767214,-0.07023996,-0.5779858,-0.1786993,-0.10191663,0.13956442,-0.058437634,0.17793839,-0.55856264
1.5704942,1.3293267,0.79849017,0.7695468,1.5142286,0.33888125,0.62569803,0.99298114,1.3169087,1.801178,1.1247389,1.6790478,1.4145612,0.63200855,0.7859605,1.5916631,1.0174991,1.1406192,1.2130558,1.3216224,1.9682674,1.5807804,1.6437774,0.8685908,1.5586332,1.7817061,0.8009915,1.2335668,1.4013742,1.4082716,0.7609294,1.6677383,1.372336,0.94649184,0.846376,1.7327613,1.1840641,1.2367654,0.9218234,0.87533844,0.87231326,1.1065446,0.9572736,1.0521215,0.45702523,1.2777588,1.3116544,0.35815236,1.1037802,0.86975974,0.7684104,1.1570892,0.9004265,0.6884805,1.6891176,-0.021941043,1.3231131,0.73014635,1.0057844,1.091898,0.38674453,0.9111507,0.8944786,0.9563688,0.74622625,1.0502183,1.3687263,0.5013576,1.2347252,0.77593684,0.7496745,0.9954297,1.2832153,1.570103,1.1218773,1.046286,1.1857585,0.739399,0.4824783,0.042634312,0.9366493,0.54579836,0.62841624,0.76083493
-0.0076915263,0.6177759,0.61324376,0.45422924,0.8701268,-0.029466707,-0.027033806,0.9248483,0.46824127,0.7527378,0.49578705,0.10922428,0.6112522,0.3575485,0.3838806,0.34938183,-0.041156948,0.3491893,-0.15439428,0.61136025,0.2438938,0.08459713,0.4092767,0.3754569,0.56543183,0.5494817,0.5899902,0.27430484,0.66233665,0.7260844,-0.11467999,0.6396216,0.7216309,0.5884745,0.20390707,0.5919869,0.16626559,0.54776835,-0.07384413,0.06059478,0.6905738,0.22166206,0.6387235,0.37733868,1.084458,0.9077162,0.9365327,0.56959534,0.66828734,0.5734382,0.42475322,0.52024645,0.89476603,0.6743269,0.68409824,0.33889005,0.18036523,0.7018283,0.033110783,0.3247294,-0.17223948,0.9132542,0.20204572,0.967313,0.56499416,0.8118469,0.6089694,0.5262543,0.5516669,0.5985552,0.34513402,0.58920866,0.42026722,-0.17322,0.37237474,0.80182934,0.67214644,0.012571851,0.602758,1.1852025,0.47478423,-0.34957156,1.3329134,0.8622241
-0.1845984,-0.1905057,-0.56080234,-0.8700049,-0.8451185,-0.2570278,-0.5015623,-1.2276965,-0.6839262,-0.6858292,-0.87532717,-0.20491482,-0.5521029,0.12700284,-0.035173662,-0.3250192,-0.4890574,-0.08727084,-0.737969,-0.8961101,-0.96890926,-0.028392198,-0.4467301,0.024753755,-1.3738272,-0.4960704,-0.7073883,0.11244699,-0.5531144,-0.13380046,-0.62119526,-0.9201371,-0.56524634,-0.9820691,-0.83470184,-0.5704566,-1.060505,-0.6130256,-0.8593658,-0.61538726,-0.7475791,-0.6070003,-0.62599385,-0.4952473,-0.63212836,-0.8576539,-0.22858082,-0.44567022,-0.1345422,-1.1469681,-0.35236847,-0.4393364,0.105501674,-0.6388306,-0.2928945,-0.062167823,0.032775916,-0.09730976,-0.45310387,-0.3289668,-0.5016714,-0.7023958,0.28395933,-0.35635483,-0.66532475,-0.6004136,-0.41435862,-0.39658028,0.4217531,0.10767098,-1.0317587,-0.17083104,-0.6646577,0.23511873,-0.23222625,-0.2948716,0.33623248,0.23640142,-0.44875512,-0.80347973,-0.6328255,-1.0582381,-1.0769757,0.0055523864
-1.3521731,-0.020461641,-1.439463,-1.0621227,-0.51572984,-0.0037811734,-1.4120638,-0.5971475,-1.6111054,-0.052745808,-0.43182978,-0.80506784,-1.0376229,-0.34528258,-0.33531022,-1.1378552,-0.88511586,-1.0258307,-0.41630727,-1.0395085,-1.2506447,0.021468448,-0.8407399,-0.09787394,-1.0554261,-0.7239316,-0.82530963,-1.092787,-0.9363751,-1.3670039,-0.81342095,-0.2435097,-0.09571277,-0.26358685,-0.6122782,-0.2201976,-0.51961845,-0.94382054,-1.3884766,-1.0344956,-0.409744,-0.65636235,-0.44113982,-0.3457757,-0.69549817,-0.5895006,-0.42219594,-1.3127682,-0.48972192,-0.3039143,-0.8001266,0.5538327,-0.120127074,0.019847328,-0.12215004,-0.5062477,-1.3806229,-0.614317,-0.5984145,-0.47712404,-0.3798967,-0.15311393,-0.38044134,0.13015762,0.14954399,-0.30954662,-0.67336386,-0.97754294,-0.52672154,-0.044351656,-0.2111577,-0.3938614,-0.35529187,-0.49385515,-0.053385425,-0.13087209,0.003506992,-0.91622984,-0.8708642,0.22955132,-0.5813623,-0.8454171,-1.0788192,0.42243254
-0.27815744,-0.2054163,-0.94491976,-1.060755,-0.5089064,-0.83357036,-1.3713871,-0.47985637,-0.88636464,-0.528788,-0.87809694,-0.9305179,-0.5230142,-0.9632931,-1.028006,-0.270525,-0.7319646,-1.2709824,-0.36517778,-0.5172565,-0.8307302,-0.21031633,-0.7260657,-0.65555793,-0.84320086,-0.010253289,-0.74742943,-0.64517057,-0.93475854,-1.2394178,-0.41143188,-0.5123418,-0.5873158,-0.871854,-0.55188113,-1.0379981,-0.8673926,-1.084106,-0.6894212,-0.7994138,-1.0960405,-0.44750002,0.15595442,-0.35373625,-0.7899618,-0.1447023,-0.62536186,-0.4339278,-1.364719,-0.24165039,0.0722381,-0.47850457,-0.7796937,-0.45623705,-0.64737445,0.091547035,-0.71361846,-0.44901747,-0.94835824,0.125617,-1.4156425,-0.49647558,-0.06508313,-0.9493112,-0.6267964,-0.13842233,-0.8449185,-0.4719589,-0.54338056,-0.8829892,-0.33170974,-0.49574363,-0.4564091,-0.6761059,-0.61376476,-0.3716148,-1.1025792,-1.4563874,-0.3878739,-0.2813427,-0.65063196,-0.4222031,-0.33215213,-0.8484227
0.4725675,1.2865068,1.0924629,1.4913462,0.65897954,1.1188775,0.9031331,1.3061129,0.7550293,1.4909872,1.2508199,1.4321475,1.4761736,1.8270689,2.1618571,1.5405052,1.1504178,0.40553373,1.0100504,2.2957199,1.2462684,1.610574,1.7405621,2.234865,1.1560116,1.6161104,0.942544,0.8126272,1.3028654,1.4009982,1.4549947,1.4189606,1.1352094,1.7711556,1.03243,2.010093,1.5981845,1.4649913,1.9504367,1.1899744,1.6705358,2.3946638,1.0962915,1.3438331,2.2096112,1.1616689,1.5013475,1.3050804,2.8778732,1.7308662,1.4183624,1.4959137,1.423347,2.2920089,1.7639275,2.1622093,1.1592431,2.5992599,1.9756645,1.4966775,1.114985,2.3970697,1.5862887,1.8773512,1.1033733,0.9267122,1.7843792,1.3595268,0.72656316,1.2877115,1.4920344,1.6771352,1.7823995,1.5609121,1.7089262,1.3831176,1.1995797,1.9087139,2.2843456,1.4813765,1.4752282,1.3055755,1.4740849,1.6009393
