101_bat,102_bat,103_bat,104_bat,105_bat,106_bat,109_bat,111_bat,112_bat,113_bat,114_bat,116_bat,117_bat,118_bat,119_bat,120_bat,121_bat,122_bat,123_bat,124_bat,125_bat,126_bat,127_bat,129_bat,130_bat,131_bat,132_bat,134_bat,135_bat,136_bat,137_bat,138_bat,139_bat,140_bat,141_bat,101_kit,102_kit,103_kit,104_kit,105_kit,106_kit,109_kit,111_kit,112_kit,113_kit,114_kit,116_kit,117_kit,118_kit,119_kit,120_kit,121_kit,122_kit,123_kit,124_kit,125_kit,126_kit,127_kit,129_kit,130_kit,131_kit,132_kit,134_kit,135_kit,136_kit,137_kit,138_kit,139_kit,140_kit,141_kit
-0.17108959,-0.19913647,-0.2523623,-0.14416367,-0.112661034,-0.14961109,0.12158574,-0.03995429,-0.16712683,-0.43260452,-0.092815936,-0.15500808,-0.040846556,-0.01078327,-0.021551386,-0.3880548,0.109113276,-0.19885966,-0.30276275,-0.2314755,-0.23936948,-0.060255893,-0.18714716,0.02175352,-0.33027133,-0.13111433,0.005780615,-0.095085174,-0.10550694,0.00889533,-0.19702038,0.009700052,-0.1363059,-0.28198767,-0.27320766,-0.024607867,-0.048833072,0.035917364,0.061715133,0.022529826,-0.1854447,-0.004344739,-0.10684155,-0.15871577,-0.17398113,-0.10091735,0.07816726,0.09880094,-0.19237852,0.0176389,-0.093348816,-0.044713378,-0.048451748,-0.08497815,-0.09084623,-0.034061737,-0.12655744,-0.25597394,-0.13653144,-0.008131236,-0.16106063,-0.17233312,-0.037008226,-0.14336964,-0.104467705,-0.16059491,-0.06246583,0.001828149,-0.19054025,0.20296706
-0.2561168,-0.11710065,-0.13511191,-0.30995378,-0.11382876,-0.079362415,-0.13768166,-0.093599044,-0.11364287,0.15885775,-0.06443411,-0.1874753,-0.049864694,-0.24653429,-0.034718797,-0.0935466,-0.3842312,-0.08266422,-0.12321566,-0.09772314,-0.19696933,-0.135136,-0.047023423,-0.070705354,-0.0123179555,-0.25575298,-0.28614795,-0.28279904,-0.28209347,-0.41985932,-0.17743763,-0.13416195,0.06488053,0.025527053,-0.054524675,-0.18517426,-0.21166633,-0.19858545,-0.35239094,-0.41913447,-0.005331263,-0.1861892,-0.4221757,-0.2257145,-0.24797986,-0.2910655,-0.27312937,-0.34988996,-0.22503285,-0.4568825,-0.18200937,-0.15254065,-0.37383687,-0.3762268,-0.28996664,-0.38609624,-0.40805203,-0.15360162,-0.12604786,-0.4552848,-0.1428479,-0.27633435,-0.22696847,-0.19890273,-0.33944917,-0.5815923,-0.40180838,-0.19509655,-0.31747726,-0.2589312
0.053195704,-0.06679883,0.16812572,0.3563792,0.28450215,0.34535545,0.17591946,0.10113044,0.17089997,0.24109702,0.2891001,0.2891784,0.37789923,0.086960346,0.20665184,0.23536126,0.33325124,0.12169093,0.11893855,0.20646627,0.21937318,0.2842193,0.31282175,0.3046397,0.008303411,0.0017195791,0.197941,0.23421532,0.27957773,0.28840214,0.08153914,0.08939591,0.38609463,0.21166281,0.4073373,0.16736314,0.2335073,0.07724317,0.35480633,0.46091563,0.18971719,0.038430344,-0.07236415,0.055419758,0.20211558,0.16214405,0.3147919,0.08931786,-0.02711624,0.36516902,0.12649438,0.15960792,0.1684669,0.32755262,0.16613266,0.1703856,0.18347101,0.07570261,0.4569797,0.2486459,0.02847454,0.35755655,0.38586307,0.28991514,0.026312381,0.19942848,0.19348949,0.23101893,0.036240548,0.0775854
0.16669443,0.1740091,0.14691488,0.15754431,-0.40291667,0.24610558,0.05452472,0.34541053,-0.1662212,0.100973845,-0.060085066,0.06526318,0.15005834,0.24663423,0.101294905,0.11596733,0.1277386,0.20734599,0.05944305,0.3423981,0.29152602,0.3718891,0.40429458,0.1501847,-0.17114389,0.12134454,0.44533944,0.24776432,0.6135498,0.12387815,-0.08751007,0.20805025,0.3176031,0.2896476,0.16300368,0.05395639,0.1946668,0.21579516,-0.014108241,0.015113443,-0.016931027,-0.044820935,0.12494308,0.046582863,0.21301681,-0.052290138,0.06559552,0.04726118,0.014291316,0.43692344,0.11847836,0.05184672,0.06350226,0.03791231,0.09790665,0.111600265,0.006258324,0.14759158,0.22772789,0.2661965,0.3395357,-0.11516693,-0.07408277,0.1534587,-0.05864817,-0.009363085,-0.15628722,0.16449457,0.19204365,0.11432262
0.19209814,0.31850296,0.29626608,0.25625187,0.28583682,0.285346,0.34268618,0.088040784,0.21278943,0.07734671,0.2833998,0.32592344,0.3258388,0.56101453,0.20626284,0.38772568,0.24298999,0.27179217,0.20103619,0.156856,0.1445765,0.25492182,0.23865911,0.10182315,0.23355232,0.16167174,0.12019912,0.02594465,-0.044641547,0.3906544,0.11427006,0.36639085,0.080178365,0.08250075,0.09351812,0.095757335,0.19997504,0.17700699,0.20218629,0.2309953,0.23618826,0.4099052,0.10937135,0.0137016475,0.124980666,0.35598302,0.32115814,0.112302214,0.34133977,0.08775289,0.16618657,-0.0010820478,0.22603375,0.21293005,0.2112096,0.16720112,0.3322033,0.19225904,0.2238793,0.19087693,0.07303668,0.56338453,0.34784845,0.120533645,0.09900127,0.25311273,0.17370985,0.4295981,0.15961882,0.36415228
0.029957205,-0.07022515,-0.26181114,-0.25335816,-0.036793485,-0.20270993,-0.38870084,-0.39543408,-0.11772907,0.06662691,-0.25196534,-0.25888383,-0.24953064,-0.1417068,0.043363005,-0.13538651,-0.26613075,-0.25397786,-0.017293632,-0.22026424,-0.17761594,-0.07448919,-0.32536447,-0.16760132,-0.10795191,-0.24188292,-0.1799604,-0.07098642,-0.20467368,-0.21345621,-0.0128234625,-0.24341708,-0.028696522,-0.41803664,0.074925035,-0.12498549,-0.21923286,-0.4559668,-0.38806948,-0.3211553,-0.21425608,-0.37307638,-0.42614576,-0.5226655,-0.48429585,-0.5656347,-0.40024525,-0.4940581,-0.39329606,-0.1585654,-0.3142719,-0.48627988,-0.37964264,-0.2095907,-0.3914845,-0.36774117,-0.29748207,-0.47425884,-0.43475005,-0.48451582,-0.5980141,-0.34057206,-0.05370614,-0.32275996,-0.42438632,-0.28962553,-0.32181925,-0.1182397,-0.10332796,-0.24531166
0.34688458,0.43779603,0.16686338,0.6608281,0.31356356,0.26751813,0.3955591,0.46298155,0.44224086,0.33002836,0.61458445,0.23213032,0.3972521,0.18307063,0.19320816,0.4054379,0.24949941,0.32528895,0.40074307,0.31092075,0.38350934,0.32798862,-0.041061968,0.3541911,0.32211185,0.35516006,0.43124354,0.25097293,0.5791926,0.47552603,0.17434826,0.31517938,0.11615229,0.3789575,0.3487298,0.38846716,0.64260334,0.53753924,0.74235296,0.6103766,0.27662936,0.37509274,0.45341253,0.6089525,0.55174917,0.6439434,0.6499803,0.54525995,0.40848655,-0.083795145,0.58703583,0.47984946,0.39782113,0.67854816,0.74680936,0.5713983,0.6969285,0.56891507,0.3893071,0.53250384,0.38622174,0.5681368,0.7296728,0.5987439,0.53972965,0.3970468,0.44780815,0.5172639,0.52226293,0.7580106
0.2664098,0.27909097,0.2849944,0.42025608,0.5091325,0.18484306,0.58188665,0.27323943,0.682485,0.18095712,0.29961067,0.49251503,0.33912727,0.49235815,0.43631387,0.31101137,0.18512645,0.44651234,0.39710265,0.4709339,0.18763931,0.30349457,0.24026145,0.14155087,0.41641384,0.35955033,0.2737613,0.2293647,0.27755317,0.35077322,0.42116854,0.56660664,0.25649154,0.44433683,0.3115418,0.26000816,0.23100151,0.4544451,0.25519276,0.60397875,0.49224845,0.6353811,0.30869353,0.28224134,0.2594875,0.3456391,0.53931224,0.4667441,0.41366383,0.3102855,0.48943043,0.45488095,0.33497137,0.5201702,0.3033334,0.4540604,0.3886485,0.5272137,0.36909568,0.4597702,0.18941128,0.36700946,0.378316,0.34944233,0.32118666,0.39326957,0.6020861,0.5121231,0.12655795,0.78103906
0.16855094,0.1392961,0.2969527,-0.0143072605,0.2025986,0.055857375,0.033078447,0.0063533857,-0.12030195,0.0069735423,0.30759436,0.23009667,-0.012136515,0.12928614,0.036570296,0.4544905,0.34304738,0.13412823,0.3216164,0.22434822,0.07437763,0.20887864,0.11369526,-0.052097797,0.19506776,-0.03451428,-0.13173997,0.23820738,0.017012358,0.15546167,0.22654803,0.24257933,-0.3131762,-0.0056029186,0.17236197,-0.025222033,-0.09498036,0.08944628,-0.0102620125,0.12298905,0.17432351,0.25407362,-0.15252551,-0.018702984,0.017318532,0.0056335926,0.26837695,-0.019896716,-0.115321256,0.5291964,0.21207395,-0.02856332,0.08687019,0.1123448,0.2349169,-0.006063819,0.22396244,0.28313768,0.20079695,-0.14078683,-0.02250611,0.1599772,0.14620179,-0.006755084,0.2243756,0.27459654,0.2820161,0.27338335,-0.12255235,-0.012397535
-0.06651229,-0.15975958,0.0011128783,-0.101957,0.04242138,-0.054953218,-0.15657054,0.046329916,-0.01756993,0.11150261,-0.043791607,-0.17039566,-0.090994865,-0.29925105,-0.3089168,-0.2759788,0.008395791,-0.08057952,-0.15802053,-0.1540286,0.11013484,-0.079657584,-0.30077803,-0.31665075,0.09446019,0.24350902,0.039637804,-0.07437563,-0.056526273,-0.03784743,0.26939476,-0.17803906,-0.09169501,-0.12492213,0.087403685,0.05477248,-0.099783376,-0.1419803,-0.22731668,-0.17894122,0.17486726,-0.0619193,0.12866963,0.103078336,-0.13743564,-0.048053734,-0.12636226,-0.06479542,0.06862643,-0.098419756,-0.027899668,-0.013007775,-0.015422031,-0.18339483,-0.0981662,0.057681262,-0.04619038,0.06707874,-0.21091524,-0.048315972,0.24378194,-0.20247996,-0.15418962,-0.13919574,-0.05738035,0.0847808,-0.098820016,-0.1627701,-0.16008407,-0.04334148
