101_bat,102_bat,103_bat,104_bat,105_bat,106_bat,109_bat,111_bat,112_bat,113_bat,114_bat,116_bat,117_bat,118_bat,119_bat,120_bat,121_bat,122_bat,123_bat,124_bat,125_bat,126_bat,127_bat,129_bat,130_bat,131_bat,132_bat,134_bat,135_bat,136_bat,137_bat,138_bat,139_bat,140_bat,141_bat,101_kit,102_kit,103_kit,104_kit,105_kit,106_kit,109_kit,111_kit,112_kit,113_kit,114_kit,116_kit,117_kit,118_kit,119_kit,120_kit,121_kit,122_kit,123_kit,124_kit,125_kit,126_kit,127_kit,129_kit,130_kit,131_kit,132_kit,134_kit,135_kit,136_kit,137_kit,138_kit,139_kit,140_kit,141_kit
0.30086613,0.78021765,0.15868099,0.2540419,1.3284322,1.1124201,1.2701795,0.8967355,0.34578097,0.30613568,1.213388,-0.635553,0.74463844,0.31700537,0.0489204,0.44452795,0.26625124,0.74830914,0.7369488,0.5772361,0.49420995,1.5825199,0.7968471,0.98252183,0.51568455,0.6133803,1.3550214,0.56881255,0.69361955,1.4103003,0.48952594,1.1662961,1.4438998,1.0962973,0.89900154,0.088804856,0.57900375,0.25622684,0.15943848,0.9864787,0.10409859,-0.13132621,-0.53578234,-0.21134357,-0.015745172,0.01680956,-0.42724365,0.26053816,-0.025852181,1.4699746,0.37064415,0.37453964,0.3593717,0.24667753,0.93662935,0.45093432,0.2171357,0.4721403,0.030938912,0.21329378,0.83576816,0.5349892,0.46350318,0.28303093,0.06722627,0.0077067786,0.08225339,0.48750895,0.69780535,0.9144825
0.56101555,0.7522182,1.1679133,0.7945764,0.8240189,0.75651807,0.7049753,0.20109336,1.012299,0.45888728,0.43585244,0.68103063,1.0440239,0.49886695,0.2310257,1.1058578,0.0150082065,0.2754281,0.54380155,0.3279876,0.69048685,0.37450927,-0.01422819,0.7299519,1.0340858,1.0836865,0.46990043,0.28100055,0.43074447,0.16971162,0.9293323,1.1931509,0.5860081,-0.4549918,0.9499999,0.7605535,0.71213496,-0.3450549,0.40361536,0.3540605,-0.26416853,1.1611979,-0.2584262,0.8863406,0.1018623,0.21740215,0.058175907,0.59067804,0.24447127,0.823988,0.6637876,0.38235176,0.33732468,0.6124679,-0.47556487,0.118382245,-0.11325997,-0.13877633,0.55930835,0.44524395,-0.17345928,-0.31513527,-0.36074483,-0.22745946,0.50466186,-0.4066916,-0.047166914,-0.299758,-0.5420379,-0.3452598
0.49307495,0.6762272,1.2575494,-0.08088444,-0.19279575,1.0936384,0.28354013,0.52516526,0.015849752,0.114214845,-0.047047667,0.88282543,0.47985122,0.58227056,0.13213463,0.35132384,-0.14008349,-0.14971668,0.020209111,0.7292237,0.09496387,0.21950679,0.42335677,0.16834374,0.22146383,-0.054745145,0.49456686,0.5649106,0.8199089,0.28879768,0.733515,0.67749727,0.13367796,0.4880881,-0.14791365,0.6044707,0.80693674,0.9848388,0.9942083,0.84079,0.0842782,0.8243512,0.8031555,0.76881874,0.68225366,0.4461671,0.28495046,0.8888479,0.7168492,0.33170673,0.6646685,0.45949596,0.7778969,0.37398735,1.0020459,0.8837845,0.5644251,0.27439108,1.1733496,0.4085886,0.19677383,0.7304521,0.43114513,1.3382596,0.61712253,0.44664946,0.47354513,0.5133462,0.27640042,0.015600286
-0.70440316,-0.13832372,-0.59718865,0.08022562,-1.4144264,-0.20896871,-0.1406425,0.23848355,-0.5547574,-0.5592738,-1.0651317,-0.14028066,-0.24899617,-0.5517269,-0.41727233,-1.0648354,-0.48136157,-0.67495793,-1.2072349,0.20760854,-0.110609286,0.35732082,-0.90595865,-0.9769915,-0.2574346,-0.1159489,-0.43830383,-1.5179454,0.0133879855,-0.2764799,-0.5109608,-1.1923862,-0.77279735,-0.36990845,-0.44142762,-0.40555418,0.44916937,0.12641917,-0.24835473,-0.8231705,-0.28724483,-0.90201074,-0.31732413,-0.4396333,0.27248147,-0.28408283,0.26789945,-0.3956185,-0.56343174,-1.4699829,-0.54424727,0.09306892,0.12127456,-0.20319046,0.12212641,0.3891168,-0.5355533,-0.38494805,-0.36135027,-0.2570817,0.6656434,-0.43352762,-1.0176934,0.11394889,0.062011793,-0.9851986,-0.42143938,-0.17729257,1.298681,-0.90253955
0.85531676,2.4607544,0.30078474,0.757598,-0.06761952,0.8750175,0.40337235,0.22956657,1.0477704,0.71866107,0.8892648,1.4860824,0.3814328,0.6221766,0.5630196,0.78049195,0.68279946,0.05345902,0.5074347,-0.0037651155,-0.049782757,-0.5361043,0.46548936,1.2181069,0.36225486,-0.44886217,0.67152506,1.2966564,0.70913345,-0.12656328,0.41136104,0.3992728,0.8903934,0.95906043,0.6531762,0.9925592,1.2388153,2.053975,1.5894411,0.15927392,0.25063705,1.6215279,0.82153744,1.4627136,1.9753692,0.5234155,1.0507967,0.90401787,0.49525708,0.02481928,0.70948213,0.27709457,0.41135857,0.5087314,0.36584502,0.34548652,0.91297656,1.4260569,0.34268197,0.5137261,0.36944526,1.1153201,1.1119466,0.5631053,0.5309906,1.4642969,0.1798715,1.0959276,1.1683762,0.9858809
0.064247474,-0.434459,0.67875725,0.75790936,-0.34522453,0.57847404,0.19956997,0.5531397,0.24404658,0.38484186,0.57584804,0.2383717,0.14609505,-0.06889486,0.18370458,0.28359357,0.17917764,0.11884239,0.06978027,0.77067834,0.41420287,0.19706321,0.46625644,0.482426,-0.1319287,-0.028328551,0.62792146,0.062209386,0.8556475,0.6469989,-0.4312949,0.5448424,-0.15989669,0.7769237,0.07508048,0.9056217,-0.026233494,0.23836356,0.25736576,0.5634981,0.022953052,-0.18842791,0.60905224,0.6554799,0.54761004,-0.022712031,0.8988597,0.94242483,-0.17099863,0.2544182,0.43871656,1.0403473,0.41184667,0.3064885,0.29815727,0.4139622,0.07695853,-0.032821305,0.8081259,0.3231157,0.16951725,0.3833449,0.8907378,1.2534167,0.91707075,-0.37361276,0.06983452,0.31634,0.92811245,0.08909557
-0.0058776964,-0.042917944,-0.128887,-0.34773153,-1.0097927,-0.26983976,-0.7421394,0.14510395,-0.3951387,0.12156496,0.4062944,-0.91799116,-0.102322005,-0.4151566,0.15726763,-0.622624,0.13418923,-0.0560596,-0.40976152,0.26468682,0.08442469,0.07945514,-0.008198542,-0.33830035,0.3461561,-0.20822306,0.3789143,0.6467879,-0.29137003,0.29043812,-0.1567793,0.0048684366,-0.14882658,0.09455498,0.03326922,0.04776637,0.100102425,0.017726747,-0.09078175,-0.42133287,0.10354089,0.10565098,0.7481937,0.31807742,-0.5241298,0.5129579,0.14861706,0.22856258,0.6694183,0.09920699,0.38995036,-0.4999827,0.25917515,-0.37669832,-0.60042036,-0.15209678,0.5835982,0.05452612,0.4431695,-0.13953526,-0.36542803,0.31589994,0.5199756,0.69743085,0.2724121,-0.19945101,-0.5187559,0.22901036,0.050015137,0.71057636
-0.6730931,-1.1053926,-0.6684629,-0.74960834,-1.6885571,0.24391228,-1.2766135,0.051651914,-0.69771725,-1.3906381,-0.23306358,-0.334944,-1.1982905,-0.6217534,-0.4617835,-1.0097297,-0.53022903,-0.16231164,-1.4702013,-0.073885165,-0.96821016,-0.24513684,0.772137,-0.030831607,-1.0139337,-0.9423806,-0.54128385,-0.4447429,-0.21234895,-0.429559,-0.8553563,-1.0964507,-1.4547142,-0.59863335,-0.823136,-0.3444499,-0.3510455,-0.06539456,-0.8989015,-0.8041449,-0.970668,-1.3009506,0.09054152,-1.1096274,-0.57038665,-0.35232168,-0.14569609,-0.19092947,-1.6065718,-0.5565268,-0.54502,0.029302651,-0.74932086,-1.1944034,-0.90966666,-0.6269048,-0.45114428,-0.6257313,-0.14122099,-0.8267931,-0.5347467,-0.12209539,0.4022675,0.75392985,-0.214999,-0.90767103,-0.7246899,-0.4169011,-0.07639255,0.097340494
-0.89884377,-1.046372,0.1257008,-0.84106284,-0.4164104,0.14127752,-1.180013,-0.27344745,-0.4432909,-0.1905457,-0.14868495,0.13998275,-1.1337,-1.0972899,-0.5985189,-0.5971703,-0.5642886,-0.22029434,-0.39746597,-0.019409867,-0.2701063,-0.32353535,0.8063668,-0.43375394,-0.35854295,-0.9669986,0.0010502983,0.6170318,0.04586596,0.64304817,-0.15007293,0.08414786,-0.23970845,0.110606834,0.18680575,-0.76474667,-1.0734745,-0.24355708,-0.14328821,-0.61201817,-0.7784771,-0.73840326,0.032276683,-0.36892366,-1.0500605,-0.79682237,-0.21133341,-0.96708834,-0.80835265,-1.5361316,-0.9548966,0.22769603,-0.4285339,-1.239547,-1.215798,-1.2178301,-0.5961618,-0.44860646,-0.98404443,-0.7584436,-1.2002957,-0.71149224,0.14803252,0.61098224,-0.54942757,0.12718591,-0.60141623,-0.70788103,-0.5960909,-0.6928407
1.6887381,1.482756,1.3759224,1.4677409,0.62673783,1.7738444,0.67526966,1.9243762,1.18727,0.72395843,1.5089495,1.1963285,0.9369797,0.6709987,1.3484546,1.0860106,1.7856874,1.7991319,0.41799924,2.5190928,1.451983,0.7699938,0.73900586,1.0836107,1.3510392,1.772001,1.7103158,1.8203188,1.8514771,0.8723374,0.6422836,0.7029234,1.259882,1.9422253,1.2425847,2.3991535,2.3500648,0.54405004,1.6790863,1.760905,0.7230888,1.4224132,2.1205993,2.1194718,2.5799882,2.5384507,2.176611,1.9168818,1.2846786,1.3683126,2.6997702,1.829021,1.4614539,1.43199,1.6819738,2.7565277,2.4771883,1.6620101,2.2230134,1.8049954,2.2487612,2.6903946,2.112057,2.573208,2.4862542,0.90278673,1.53114,1.9525511,2.6787,1.1976597
