201_bed,202_bed,203_bed,204_bed,205_bed,206_bed,207_bed,208_bed,209_bed,210_bed,211_bed,212_bed,213_bed,214_bed,215_bed,216_bed,217_bed,218_bed,219_bed,220_bed,221_bed,222_bed,224_bed,225_bed,226_bed,227_bed,228_bed,229_bed,230_bed,231_bed,232_bed,233_bed,234_bed,235_bed,236_bed,237_bed,238_bed,240_bed,241_bed,242_bed,243_bed,244_bed,201_liv,202_liv,203_liv,204_liv,205_liv,206_liv,207_liv,208_liv,209_liv,210_liv,211_liv,212_liv,213_liv,214_liv,215_liv,216_liv,217_liv,218_liv,219_liv,220_liv,221_liv,222_liv,224_liv,225_liv,226_liv,227_liv,228_liv,229_liv,230_liv,231_liv,232_liv,233_liv,234_liv,235_liv,236_liv,237_liv,238_liv,240_liv,241_liv,242_liv,243_liv,244_liv
-0.14428118,-0.012620002,0.08155477,-0.0660964,-0.1575298,0.1879935,-0.10087679,-0.15249673,0.03771472,0.09444269,-0.02536156,0.11571378,-0.064697616,0.03398577,-0.052273408,-0.061740816,-0.04715853,0.05672502,-0.0738806,0.058764108,0.21649693,-0.041512493,0.02063825,0.1435089,0.11744271,0.09363796,-0.06540313,-0.07776651,0.06770716,0.084169686,-0.15221547,-0.29298162,-0.1699931,-0.18109609,-0.14786565,-0.2059126,0.030114293,0.23700716,-0.06944012,0.1897381,0.12284833,-0.14015251,0.14277397,0.003192857,0.046801433,0.14450088,-0.058330543,0.112691075,-0.014315374,-0.014817324,0.17558596,0.16502583,-0.08532048,0.090345725,0.10141492,0.13955419,-0.09947281,-0.15891704,-0.17013125,-0.08410728,-0.14040887,0.10638206,0.056622714,0.0060113333,0.34169286,0.001161322,-0.09355397,-0.10042471,0.1364913,-0.09349057,0.009713065,-0.05690662,0.09798582,0.26621795,0.0016409494,-0.06869292,0.20839468,0.040160507,0.2382507,-0.106400646,0.13800904,0.0913552,0.0497299,0.14727265
-0.21201661,-0.48656017,-0.38590515,-0.27256617,-0.16936599,-0.22967473,-0.47706336,-0.23335013,-0.35026947,-0.1854105,-0.34370136,-0.29418835,-0.26717108,-0.18073207,-0.3990637,-0.20879003,-0.15388604,-0.20448431,-0.22584292,-0.14172737,-0.28515995,-0.12092279,-0.28152996,-0.31801254,-0.19950032,-0.2559802,-0.22213374,-0.22260393,-0.24760923,-0.23332623,-0.2572401,-0.22831233,-0.10808024,-0.22356302,-0.29247707,-0.34252083,-0.3209185,-0.21855845,-0.16163746,-0.23217505,-0.3522433,0.062196217,-0.17609103,-0.26013452,-0.29274634,-0.23759791,-0.1669052,-0.30529076,-0.12348732,-0.23956424,-0.26637977,-0.30520543,-0.14418498,-0.29904893,-0.13522558,-0.12957498,-0.6964358,-0.1491033,-0.27766973,-0.1559698,-0.3215167,-0.33515194,-0.19466335,-0.18072873,-0.27242124,-0.34846747,-0.1797392,-0.26188698,-0.3063315,-0.19309227,-0.26444432,-0.17713958,-0.055721104,-0.20332196,-0.21823503,-0.32055688,-0.32013497,0.042954274,-0.43562496,0.0018967912,-0.2093108,-0.26881802,-0.23496373,-0.22458652
0.03720756,0.29140395,0.19670096,0.23003954,0.24222015,0.1897274,0.23606285,0.43727082,0.27922946,0.34751257,0.19477308,0.3665533,0.36625218,0.15807053,0.49507627,0.27597833,0.038831554,0.19818377,0.17646293,0.10675074,0.3247316,0.25436962,0.13530396,-0.050221145,0.15012634,0.28396708,-0.012661234,0.15540494,0.362715,0.25492755,0.18719187,0.3429112,0.34154314,0.126373,0.27478442,0.12916476,0.20599072,0.23381509,0.1496437,0.14860547,0.20644137,0.4223593,0.31702822,0.15119064,0.07639741,0.035610598,0.20075487,0.16209278,0.28829247,0.20077945,0.19088292,0.2878744,0.22348171,0.30456913,0.055225104,0.13740881,0.05365181,0.29250473,0.015829243,0.22122508,0.22854212,0.27209312,0.3207175,0.33700317,0.23044527,0.35665983,0.048371002,0.28257552,0.20057927,0.045895156,-0.003050536,0.172616,0.19038956,-0.04064296,0.14256112,0.017736696,0.14005509,-0.084559046,0.2922069,0.17380285,0.17511728,0.0793788,0.27226934,0.22475688
-0.16319358,0.2165703,0.3486318,0.46576345,0.29015496,-0.043842703,0.42329597,0.453496,0.26806968,0.18375887,0.0321019,0.2977272,0.2667641,-0.01963976,0.06065029,0.1578919,0.24621013,0.1489625,-0.07954872,0.06305666,0.30640563,0.1856904,-0.04113458,-0.21389781,0.17091608,0.07793884,0.33420318,0.0661924,0.19635272,-0.04962665,0.051658884,0.17983127,0.19680373,0.1690455,0.23139215,0.18772906,0.41069064,0.19611764,-0.0416449,0.00021120906,0.012552664,0.5117322,-0.18022324,0.31122437,-0.08554205,0.13237634,0.31973106,0.17734018,-0.18789852,-0.09559445,0.08472067,0.14878106,0.18719624,-0.056873202,0.1764358,-0.23694155,-0.36668906,0.007510245,0.0127034485,0.0011750162,-0.1445525,0.07828532,0.3581597,0.31748003,-0.07575205,-0.1230045,0.059628636,-0.20241514,0.053705677,-0.054859087,-0.040268585,-0.38109854,-0.14160489,-0.08746536,0.19103582,0.030874565,0.17771682,0.045881182,0.24484313,-0.10775362,-0.13079226,0.08928795,0.09297017,0.156178
0.20113385,0.38603324,0.1226834,-0.06995702,0.09392916,0.35677314,0.13267185,-0.0067840964,0.36416185,0.3355636,0.38671303,0.28417715,0.23124394,0.21918325,0.22825672,0.24245322,0.15899587,0.48017675,0.356709,0.34603468,0.33352533,0.36945134,0.13180055,0.26483053,0.20382029,0.35675982,0.12743543,0.14742912,0.23756987,0.5692483,0.43073297,0.22255728,-0.030653477,0.3141476,0.24500802,0.420439,0.11267937,0.36527532,0.26467097,0.34602457,0.2917958,-0.03611031,0.26230812,-0.08295408,0.13814214,0.17181018,-0.08624981,0.22717124,0.06505267,0.30254817,0.39291906,0.27658162,0.3149764,0.27234402,0.2948036,0.30651495,-0.07753198,0.29188704,0.082833424,0.23670718,0.09017263,0.08813669,0.24580294,0.2665466,0.016765863,0.37935358,0.24216127,0.39705494,0.4693578,0.3145401,0.15956981,0.29412442,0.25364545,0.3586158,0.19927692,0.24886858,0.16786678,0.30383867,0.26307777,0.3049213,0.4199093,0.5773796,0.2332083,0.23374161
-0.044399142,-0.25817728,-0.4555905,-0.19203141,-0.25430676,-0.33758897,-0.47374067,-0.41052696,-0.019353166,-0.1853694,-0.31331313,-0.22018808,-0.25993478,-0.5072727,-0.029188648,-0.37870926,-0.1736846,-0.068255246,-0.46768552,-0.23538053,-0.24533977,-0.3501858,-0.11205208,-0.25574285,-0.3075552,-0.32994562,-0.10587348,-0.059727415,-0.17585109,-0.005905777,-0.2565158,0.0032110661,-0.21362576,-0.2733982,-0.3139462,-0.37904233,-0.2399869,-0.09438435,-0.18999612,-0.2848557,-0.3033215,-0.27086124,-0.33836606,-0.42894685,-0.11368084,-0.071379244,-0.29556325,-0.102400124,-0.30664223,-0.17464584,0.0648488,-0.3908406,-0.54423803,-0.1407167,-0.18541956,0.0050578415,-0.044903472,0.03184119,-0.09877662,-0.22093348,-0.2945103,-0.3390399,-0.31881347,-0.46343002,-0.42580622,-0.19087124,-0.23038076,-0.16401753,0.09305233,-0.27013707,-0.24380046,0.18323235,-0.37087443,-0.37797958,-0.25349408,-0.2515304,-0.25370416,-0.30406588,-0.27113703,0.17962886,0.18973441,-0.13522981,0.021275312,-0.23360312
0.3345871,0.625226,0.49053442,0.3345096,0.42285252,0.37137973,0.5584884,0.4304679,0.43883288,0.5811368,0.49834216,0.6209742,0.5098486,0.43364346,0.251836,0.40959275,0.42540094,0.36809552,0.634614,0.64727366,0.40419874,0.46980217,0.27086046,0.5763749,0.6677075,0.4445022,0.38739422,0.43818873,0.5464073,0.66139513,0.44704795,0.060847342,0.38073772,0.30373308,0.5407931,0.5183164,0.58794284,0.56351453,0.3370775,0.46586496,0.5026871,0.43912414,0.34524876,0.13637364,0.6565224,0.48543367,0.3195889,0.19461173,0.24773455,0.3981494,0.3811713,0.6759906,0.4439475,0.6686267,0.40054375,0.80400884,0.037570953,0.25991562,0.21928573,0.33404756,0.25733364,0.48397166,0.6535348,0.5676831,0.3528834,0.47012252,0.2761696,0.5958333,0.6447664,0.18269709,0.29470718,0.43708488,0.35735345,0.51729727,0.52598244,0.27097896,0.42622542,0.40201163,0.814199,0.5799798,0.64946336,0.68343365,0.6617764,0.47267646
0.46749806,0.49590793,0.30157673,0.5827806,0.13883688,0.33057645,0.4129448,0.18590891,0.22047044,0.17189771,0.24550879,0.3819384,0.16665953,0.39874983,-0.02772224,0.3792869,0.39735568,0.22269869,0.31327024,0.23147102,0.3392936,0.37548098,0.41821152,0.1713562,0.1590867,0.32303455,0.3084624,0.36727783,0.34325153,0.21059847,0.56312203,0.28211594,0.6016588,0.43616402,0.38822323,0.3799585,0.2982181,0.45001316,0.41331735,0.44761935,0.16877407,0.20944351,0.3566379,0.36054963,0.530085,0.34232384,0.21416736,0.30820894,0.42462796,0.3851796,0.22329602,0.21158971,0.48933417,0.30982804,0.3898179,0.14398977,0.7933513,0.19591698,0.33677718,0.3906733,0.45589435,0.2216441,0.16168681,0.41123188,0.15367657,0.3061099,0.31467223,0.37001425,0.22883536,0.27376175,0.31738767,0.4038357,0.35663632,0.3790456,0.35619557,0.3386259,0.36890697,0.37994468,0.40612054,0.2700193,0.030475229,0.34336972,0.15183304,0.23599043
0.116144665,0.46733442,0.12068923,-0.023562402,0.14554083,0.2556613,0.03493701,0.28476784,-0.07727003,-0.08561134,0.052800104,0.41402656,0.06661171,0.14777583,0.47865427,0.20352644,0.036028914,0.31994498,0.25001574,0.15959047,-0.12587705,0.118475504,0.18940035,0.19821231,-0.073463194,0.06864363,-0.013377994,0.0846287,0.17703938,0.3203482,0.14093241,0.07846072,0.28564,0.18885227,0.2991687,0.28827563,0.08612328,0.026706383,0.07700534,0.14671153,0.060979396,0.22233781,0.35455963,-0.0072635785,0.16241342,0.19501479,0.07002194,0.089556314,0.07789634,0.08662385,0.22311261,-0.12087641,0.1544111,0.34800205,0.1694231,0.20931078,0.25075507,0.24491028,0.096100256,0.33896083,0.28582388,0.06834145,0.1533243,-0.01724884,-0.043146536,0.054599777,-0.019407593,0.4730035,0.2332721,0.66876286,0.109735556,0.19767866,0.18086052,-0.19813164,0.134877,0.26312363,0.18578705,0.10521267,-0.1318432,0.07583895,0.3212157,0.036644533,0.033582054,0.23208985
-0.006174147,-0.02044727,-0.09769437,-0.1449707,-0.093774006,0.14308462,-0.26660508,-0.18950588,-0.1329143,-0.12386954,-0.14588827,-0.10537341,-0.20236672,-0.036518663,-0.14681031,-0.18198508,0.040840372,-0.049206927,0.013281971,-0.2744577,-0.028211221,-0.06839901,-0.2075718,-0.11226925,-0.13318187,-0.023326129,-0.096964784,0.14477326,0.036410645,0.07854161,-0.07691266,-0.11266808,0.04911813,-0.09548116,-0.077682555,0.12024945,-0.16268091,-0.20507926,-0.045312077,0.03743732,-0.10665068,0.019746229,-0.07717514,-0.05908364,-0.16791704,-0.20273802,0.10746285,-0.051692158,-0.041195333,-0.040149122,-0.117874004,-0.06326479,0.10022819,-0.027299076,-0.006543368,-0.1991294,-0.111156404,-0.12313515,0.13271809,0.05275303,0.17041598,-0.07575786,-0.199166,-0.09440173,0.072554916,0.09060505,0.17929511,0.047480777,-0.15623832,0.19207644,0.17252705,-0.064495906,-0.0037018955,-0.06359893,0.18388352,0.19880119,0.04782787,-0.004949838,-0.0649326,0.032207996,0.065035984,0.16317123,-0.10925147,-0.026501924
