201_bed,202_bed,203_bed,204_bed,205_bed,206_bed,207_bed,208_bed,209_bed,210_bed,211_bed,212_bed,213_bed,214_bed,215_bed,216_bed,217_bed,218_bed,219_bed,220_bed,221_bed,222_bed,224_bed,225_bed,226_bed,227_bed,228_bed,229_bed,230_bed,231_bed,232_bed,233_bed,234_bed,235_bed,236_bed,237_bed,238_bed,240_bed,241_bed,242_bed,243_bed,244_bed,201_liv,202_liv,203_liv,204_liv,205_liv,206_liv,207_liv,208_liv,209_liv,210_liv,211_liv,212_liv,213_liv,214_liv,215_liv,216_liv,217_liv,218_liv,219_liv,220_liv,221_liv,222_liv,224_liv,225_liv,226_liv,227_liv,228_liv,229_liv,230_liv,231_liv,232_liv,233_liv,234_liv,235_liv,236_liv,237_liv,238_liv,240_liv,241_liv,242_liv,243_liv,244_liv
0.6059352,1.2504464,0.19646247,0.9142445,0.5271055,0.17458029,1.0150371,1.100017,0.9118598,-0.5596311,0.67108274,0.62998325,1.424759,1.1739057,0.33268875,0.81910795,-0.41306925,0.3104737,0.4277685,0.43768263,0.25622186,0.53575104,-0.007090346,0.036321543,-0.13443257,0.6063351,0.09461472,0.43664736,0.6920643,1.0487719,0.69505423,0.63032067,0.62157464,0.47549424,1.204994,0.8285696,0.47211128,0.5803422,0.6446403,1.4768046,0.64360154,0.36072806,0.6616936,0.6591103,0.030161083,0.38665485,0.4527443,0.26764277,-0.34527043,-0.3348254,0.45824426,-0.03966814,0.8572983,-0.17061396,0.053292867,0.22493145,0.17836177,0.4950507,0.61390626,0.7434511,0.51726156,-0.30929875,0.39974126,-0.10780332,0.14384104,0.28180182,0.21502046,-0.092312396,-1.178418,0.5335373,0.39580762,0.12756687,0.9328789,-0.83097035,0.4733841,0.6965833,-0.032514017,-0.6969596,0.13972965,0.93506026,0.9463597,0.62356985,0.06035745,0.54703987
0.64994293,-0.1750581,0.8702248,-0.19837792,0.36788574,1.1088841,0.5465496,0.21027082,0.33104262,1.2489203,0.31535697,0.25778005,0.7062246,0.058227986,0.94727343,1.0455056,-0.43345207,0.5143453,0.9449909,0.36915457,1.3916893,0.45726952,0.110223,-0.18302883,0.8756787,0.2732156,0.6919874,0.7563863,0.22076857,0.3323055,0.17796247,0.818231,0.5902373,-0.09375724,0.11860432,0.6903533,0.87906754,0.22153188,0.2693431,0.5557,0.7326723,1.4259456,0.06276058,0.05756052,0.7276016,0.15604234,1.1458464,0.040833995,1.1722143,0.29983085,0.7967915,0.6716879,0.094574705,0.15976368,0.6723302,-0.5038429,0.08962226,1.1992683,0.6787805,1.4415909,0.20445296,0.16657643,0.67667764,0.17729451,1.0880394,-0.5179663,0.2155658,0.30427122,-0.10549523,0.9960473,0.24909148,0.3084113,0.025573965,1.2241985,0.39452556,0.66129315,1.0642934,0.785408,0.54415923,0.6910704,1.0044178,0.61462283,0.8957548,1.7610211
0.062022302,0.6883603,0.9741695,0.41612872,0.7133124,0.18832543,0.7464691,0.77062166,0.50833815,1.2701021,0.8950662,0.75628203,0.95495296,0.8163179,-0.36495206,0.63522947,0.5970948,0.31778476,0.07082696,0.98881763,1.2038329,0.49992257,0.19467352,0.6826897,0.56189597,0.75838715,0.24283756,0.69074696,0.6695105,0.27471054,0.35570264,0.5429882,0.7632035,0.8351245,0.219785,0.77204823,0.66273284,0.2516222,1.424098,0.6740136,0.2675012,1.549904,0.9752878,0.51353985,0.2971331,0.14866391,0.5310358,-0.13311867,1.1675055,0.5258721,0.9898472,0.690814,0.47717333,0.9888007,0.4353718,1.1272528,0.7430786,0.7605448,0.59603906,0.70417464,-0.12385468,0.96021223,0.9226222,0.5206593,1.0022914,0.4342598,0.6381021,0.61010283,0.76410556,0.6626309,0.4865222,0.08608357,1.0471385,0.9922759,0.60317475,0.1533659,0.9860019,0.54945743,0.7344919,0.6892544,1.231878,0.81966484,0.7185292,0.9556734
-1.0517033,-0.4866511,-0.51783663,-0.4418498,0.43800056,-0.27881485,-0.4609953,-0.20966573,-0.21914522,0.8377943,-0.5884154,-0.7010871,-0.79496443,-0.21494313,-0.26447454,0.38742656,0.22956073,0.029065065,-0.7528904,-0.44469222,-0.11210781,-0.7808108,-0.29725775,0.8679875,-0.40864685,0.051140677,-0.5326347,0.2101376,-0.68999326,-0.069115385,-0.10105482,-0.22700061,-0.8772323,-0.24639228,-0.5119957,-0.5496849,-0.29330164,0.09083991,-0.6746835,-0.26361722,0.4434711,-0.9301112,-0.6381552,0.040206593,-0.31105852,0.24432984,-0.31363195,0.18179844,-0.72705066,-0.20001735,0.18847422,-1.0057636,-0.37647206,-0.31817913,-0.95978016,0.02280769,-0.6333569,-0.2779621,0.059282705,-0.57201844,0.01502708,-0.041558262,0.0748009,0.0757828,-0.45319355,-0.08809395,-0.0789623,-0.50550586,0.6200783,-0.51213163,-0.7110498,0.55321354,0.12498642,0.6084413,0.119013876,-0.12577043,-0.3692524,1.1354542,0.028384749,0.89317596,-0.22759087,-0.1987002,0.4281808,-0.2561536
0.58435655,0.18799892,-0.13879137,0.34230125,0.5617924,1.1254965,1.0403835,0.29670212,0.287064,0.7191216,0.9728147,1.4286064,0.6942953,0.55809486,1.3605298,0.84920865,-0.30502585,1.3783715,0.050048977,1.5997849,0.82073843,0.8794066,1.0524375,-0.08561068,1.028946,0.916127,0.5451235,0.8761972,1.1974894,1.1099213,0.87939775,1.2857584,0.89397126,0.847999,0.5142086,1.2408265,0.8762239,-0.43464467,1.1612778,0.7407444,1.6726289,0.88816774,0.49119052,0.1706016,0.86131895,1.8553576,0.20738153,-0.24380198,0.23780517,-0.5125599,1.5231104,1.4656494,0.7774522,1.2956631,0.66739017,0.07283688,0.8430107,0.8336097,-0.033970777,1.3379635,0.74954176,0.31396016,1.2202168,1.1159966,0.22138147,0.3133768,0.28218114,0.9489833,1.1268146,1.6623908,0.94022876,0.6298764,1.3101543,0.19413295,0.48168543,-0.11635781,0.3718151,1.3219949,1.2027402,0.99916357,1.8295865,0.4152084,0.7130482,1.1426067
-0.5290388,0.21151191,0.8721459,0.43787122,0.3759404,0.2718449,0.6239568,0.5644054,0.28795412,0.20574284,0.31969604,0.46255857,0.48462793,0.41818035,0.19044486,0.008563401,-0.3720292,0.275056,0.25641978,0.6396779,0.10509484,0.23963828,0.57804924,0.69104475,0.36216503,0.63708895,0.75602746,0.119214974,0.16675021,0.4764123,-0.06851988,0.23078625,0.68815297,0.34387526,0.35075656,0.33395565,0.21313474,0.47715622,0.17299543,-0.37029704,0.052484788,0.69423854,0.0452751,0.14103055,0.3705343,0.4157571,0.21598229,-0.09298209,-0.01973987,0.7261649,0.5901211,0.77891916,0.27715608,0.68639874,0.7433413,0.09543687,-1.1004295,0.7787581,-0.036264095,0.28572193,0.06998503,0.9821987,0.22393382,0.46436146,0.45691192,0.4654767,0.4325464,0.83302104,0.50468093,0.1371328,0.23589644,0.29207388,0.39802632,0.47839817,0.48895177,0.02771994,0.057348568,0.5135776,0.5801941,0.8948467,0.56772894,0.21418637,0.40346763,0.67564
0.02492141,0.111291565,-0.44174573,-0.003191463,-0.23331667,-0.58795184,-0.26947188,-0.85786945,0.13773726,-1.3122386,-0.28762242,-0.22744134,0.05625228,-0.74618834,0.47400856,0.039352417,0.008660416,-0.31883273,0.07920538,-0.24805634,0.3409337,-0.44214657,-0.42817578,0.28141552,-0.74100465,0.1587259,0.11132525,-0.47943583,-0.14153913,-0.47793004,0.1968236,0.056270253,-0.3364148,-0.22672857,0.7200007,-0.022817766,-0.6975576,-0.48497814,-0.25533202,-0.10456843,0.07062291,-0.2172451,-0.1256526,0.121656634,-0.15934686,-0.16982287,-0.584562,-0.33891585,-0.83936614,0.38765863,-0.6117804,0.549796,-0.32126898,0.06640779,0.8218828,-0.3328975,-0.1733301,-0.06485406,-0.057414986,-0.69629294,0.0225011,0.5243521,-0.53947467,0.23588543,0.08428746,-0.14847986,-0.10007888,-0.3016867,-0.36716676,0.40158638,0.26832017,-0.15446542,-0.49774948,-0.04763614,0.7582675,0.06655324,-0.31781003,-0.42186385,0.50325525,-0.44981903,-0.017264592,0.13525425,-1.0464164,-0.052833173
-0.7348353,-1.2132963,-0.5975377,-0.66842145,-0.74296504,-1.0110816,-0.58884066,-0.28563806,-0.5432687,0.4992854,-1.045636,-0.7604362,-0.71836203,-0.566104,-1.6134287,-1.1132015,0.32527444,-1.3024975,-0.5384433,-0.17854904,-0.075164706,-0.21009457,-0.6607655,0.17593531,-0.60763264,-0.08923461,-0.7839075,-0.8401565,-0.85715914,-1.3627017,-0.39792442,0.2891169,0.128262,-0.44958925,-0.24548793,-0.9325611,0.116917476,-0.8432877,-1.2650869,-0.9347066,-0.49878168,-0.30536532,-1.2539206,-1.069323,-0.13804649,-1.3948495,-0.9001572,-0.8213659,-0.6403925,-0.061458323,-1.4151121,0.13043635,-0.69749653,-0.013579193,-0.108601674,-0.6806535,-1.9694054,-1.3334247,-1.2996346,-1.0833982,-2.118864,-0.7391818,-0.24615702,-0.5824405,-0.37199932,-0.9339751,0.17961578,-0.8001332,-0.47284698,-0.97817904,-0.77197224,-1.1764563,-0.8664154,0.015589185,-0.25317925,-0.97788256,0.20497277,-0.5213673,-0.17178112,-0.34401503,-0.8205194,-0.8131365,-0.19063897,-0.3346196
0.009427879,-0.95985484,-1.1585948,-1.433228,-1.0185744,-1.2165741,-1.4444566,-1.2804775,-1.2083366,-1.98424,-1.2655507,-1.6594946,-0.98155355,-1.3742762,-0.9879032,-1.1277044,-0.766858,-0.9007687,-0.67818135,-1.1860819,-1.5423055,-1.40298,-0.4254391,-0.051111646,-0.5210881,-0.832406,-0.07467579,-0.8981522,-1.1438807,-1.0116321,-1.1925455,-1.6317489,-1.1820325,-0.96102667,-0.9997815,-0.91458464,-1.0930238,-0.25166592,-0.9893913,-1.1882083,-1.0251578,-1.3063657,-1.3945352,-1.9113095,-0.04950282,-1.0083506,-1.1609596,-0.92131823,-1.5723029,-0.7747464,-0.9223341,-0.8486145,-1.5775673,-1.7065547,-0.880232,-0.5009493,-1.463836,-1.2757274,-0.6600228,-1.1838473,-0.946183,-1.7105271,-0.5350826,-1.4383651,-1.0810637,-0.8675142,-1.6412637,-0.8218847,-0.58051604,-1.8113313,-0.7752926,-0.99915475,-1.2074314,-0.7730198,-0.8725924,-0.8412608,-1.1753677,-1.7156454,-1.4749593,-1.310562,-1.056234,-0.9125033,-0.6996578,-2.2616508
1.0365006,0.7119451,2.017323,1.3418397,1.8021592,1.7547112,1.4090866,1.7228324,1.5036556,1.7258517,1.4038495,1.8442974,1.3465762,1.6193923,0.4395636,1.9673067,1.9989332,1.6043425,0.6506339,1.494641,1.613127,1.7147719,1.3346226,2.8192887,2.495051,2.6353233,1.4510107,0.5864773,2.0953453,1.2724081,1.6890986,1.8335634,1.6217934,2.1882634,1.5046401,2.1822083,1.9928005,2.136569,1.2444913,1.2958688,1.8518194,0.7609211,1.6565628,1.7198919,1.5749521,1.654308,1.8329338,1.7454468,0.22354984,1.7363092,0.30298615,2.1189466,1.3775604,1.5645552,2.2846687,1.1334596,-0.50819504,1.0902113,1.8283849,0.768914,0.3487598,1.7122302,0.9306339,2.2200007,0.95578367,2.6590748,1.9956428,0.020724872,2.3678026,1.1929315,1.1961474,1.4377506,2.123661,2.517683,0.971633,0.9810723,0.68013024,2.4721444,2.3201888,2.5653841,1.8093455,1.066884,2.128213,0.80169904
