RDM11,RDM12,RDM13,RDM14,RDM15,RDM16,RDM17,RDM18,RDM19,RDM110,RDM111,RDM112,RDM113,RDM114,RDM115,RDM116,RDM117,RDM118,RDM119,RDM120,RDM121,RDM122,RDM123,RDM124,RDM125,RDM126,RDM127,RDM128,RDM129,RDM130,RDM131,RDM132,RDM133,RDM134,RDM135
0,3.65,2.65,3.95,4.6,4.7,4.5,3,4.35,3.75,3,3.85,3.8,4.4,3.35,3.9,3.25,3.9,2.95,3.8,4.3,2.95,4.3,4.55,3.9,4.65,3.9,3.2,3.25,3.2,4.6,4,4.4,3.75,3.55
3.65,0,4.25,4.5,4.25,4.55,3,4.25,2.5,3.4,3.1,3.4,3.6,4.45,2.9,2.5,4.3,4.5,2.3,3.65,3.4,4.1,3.4,2.6,3.05,5.15,4.2,3.9,4.15,4.5,4.6,3,3.45,4.3,4.15
2.65,4.25,0,4.3,4.5,4.35,4.75,2.5,4.55,3.8,3.4,3.55,4,4.1,3.7,4.05,2.4,3.1,3.8,4.05,4.2,2.9,3.2,4.4,3.75,4.9,3.2,3.25,3.6,3.25,4.3,3.7,3.9,3.45,2.55
3.95,4.5,4.3,0,4.55,4.95,4.15,3.25,4.35,4.25,3.9,3.35,4,3.5,4.35,4.25,4.3,4.05,4.2,3.25,4.7,4.6,4.15,4.6,4.05,5.2,3.35,3.65,2.6,3.85,4.9,3.75,4.35,2.55,4.25
4.6,4.25,4.5,4.55,0,3.95,4.4,4.15,4.35,4.25,4.5,4.25,4.5,4.15,3.75,4.4,4.65,4.55,4.05,4.05,4.45,4.9,4.6,4.4,4.6,5.25,4.45,4.35,4.4,4.7,4.55,4.3,3.4,4.8,4.5
4.7,4.55,4.35,4.95,3.95,0,4.75,4.5,3.8,4.3,4.5,4.7,4.25,3.4,4,4.35,4.5,4.3,4.55,4,4.1,4.75,4.15,4,3.75,4.75,3.8,4.75,4.65,4.6,4,4.25,3.8,4.7,4.35
4.5,3,4.75,4.15,4.4,4.75,0,5.1,2.4,3.55,4.75,3.4,3.5,4.85,4.25,3.1,4.9,4.75,2.8,3.85,3.6,4.75,3.7,2.5,3.8,5.35,4.5,4.8,4.6,4.65,5,2.95,4.45,4.75,4.8
3,4.25,2.5,3.25,4.15,4.5,5.1,0,3.8,4,3.3,3.75,3.5,4.1,2.8,3.95,2.65,2.9,3.95,3.65,3.95,2.95,3.55,3.85,4.05,4.85,2.95,2.55,2.7,2.45,4.35,4.15,4.4,2.55,2.7
4.35,2.5,4.55,4.35,4.35,3.8,2.4,3.8,0,3.2,4.3,3.35,3.5,4.75,2.75,2.65,4.5,4.5,2.25,3.55,3,4.6,3.55,2.35,2.45,5.25,4.8,4.45,4.1,4.5,4.5,3.4,3.85,4.6,4.25
3.75,3.4,3.8,4.25,4.25,4.3,3.55,4,3.2,0,3.6,3.55,3.85,3.55,3,3,3.7,4.3,3,3,2.5,4.3,3.45,3.5,3.1,5.2,3.5,3.85,2.75,3.95,5,3.2,2.6,3.85,3.45
