Age;Female;Handedness;German - Nationality;Italian - Nationality;Indian - Nationality;Ukrainian - Nationality;Iranian - Nationality;Cultural background - Western (European);Cultural background - Indian/Central Asian;Cultural background - Arabic/Middle Eastern;Cultural background - Persian;Cultural background - Southeast Asian;Cultural background - Latin;German - Language ;English - Language ;French - Language ;Spansih - Language ;Russian - Language ;Italian - Language ;Hindi - Language ;Ukrainian - Language ;Estimate of personal monthly budget in €;Current occupation;What is your highest level of education?;Thinking about your childhood and upbringing, what would describe the economic background of your family the best?;What is the highest level of education of your parents?;Where did you primarily live during your childhood?;In what environment did you spend the majority of your childhood?;In how many places did you live (longer than 3 month) before your 18th birthday. [Number of different places];On average, how many people lived in your childhood household? [Number of people];You provided a picture of your private kitchen. On average, how much time do you spend in this room each day?;How involved were you in designing and furnishing your kitchen? [ Not at all | All done by yourself];How satisfied are you with the visual appearance of your kitchen? [very unsatisfied | very satisfied];You provided a picture of your private bathroom. On average, how much time do you spend in this room each day?;How involved were you in designing and furnishing your bathroom? [ Not at all | All done by yourself];How satisfied are you with the visual appearance of your bathroom?  [Very unsatisfied | very satisfied];Who do you currently live with?;For how long do you live there?;Please indicate your visual preferences in interior design. [traditional | modern];Please indicate your visual preferences in interior design. [extravagant | minimalistic];Please indicate your visual preferences in interior design. [open/spacious | closed/defined];Please indicate your interest and experience in interior design. [no interest | very strong interest];Please indicate your interest and experience in interior design. [no experience | professional expertise];How would you rate the vividness of your imagined prototypical kitchen? [not vivid at all | as vivid as a real scene];How well were you able to translate the imagined kitchen into a drawing? [not well | very well];How would you rate the vividness of your imagined prototypical bathroom? [not vivid at all | as vivid as a real scene];How well were you able to translate the imagined bathroom into a drawing? [not well | very well];How would you rate your overall drawing abilities? [very weak | very strong];Did you use a specific strategy in the categorization task?
Numeric;Numeric;Encodng;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;One-hot encoding ;Ranks;Ranks;Ranks;Ranks;Ranks;Ranks;Ranks;Numeric;Numeric;Ranks;Numeric;Numeric;Ranks;Numeric;Numeric;Ranks;Ranks;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Encodng
;;-1 (right-handed) ;;;;;;;;;;;;;;;;;;;;< 500;Unemployed;"Middle School Diploma (equivalent to ""Fachhoschulreife"") or lower";Lower Class;"Middle School Diploma (equivalent to ""Fachhoschulreife"") or lower";Own house;Rural;;;5 - 15 min.;;;5 - 15 min.;;;Alone;< 6 month;;;;;;;;;;;-1 (object stragety) 
;;0 (double-handed) ;;;;;;;;;;;;;;;;;;;;500 - 1000;Student;"High School Diploma (equivalent to ""Abitur"")";Lower-Middle Class;"High School Diploma (equivalent to ""Abitur"")";Townhouse;Small town;;;15 - 30 min.;;;15 - 30 min.;;;One other person (partner);6 - 12 month;;;;;;;;;;;0 (both strageties) 
;;1 (left-handed) ;;;;;;;;;;;;;;;;;;;;1000 - 1500;Part-time employed;Bachelor's Degree;Middle Class;Bachelor's Degree;Appartement/flat (owned);Suburban;;;30 - 60 min.;;;30 - 60 min.;;;One other person;1 - 2 years;;;;;;;;;;;1 (space stragety) 
;;;;;;;;;;;;;;;;;;;;;;1500 - 2000;Full-time employed;Master's Degree;Upper-Middle Class;Master's Degree;Appartement/flat (rented);Urban;;;1 -  2 h;;;1 -  2 h;;;2 - 5 others (family);2 - 3 years;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;2000 - 2500;;Docatorate/Ph.D.;Upper Class;Docatorate/Ph.D.;;;;;> 2 h;;;> 2 h;;;2 - 5 others (not family);> 3 years;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;2500 - 3000;;Professorship;;Professorship;;;;;;;;;;;> 5 others (not family);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;3000 - 4000;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;4000 - 5000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demographics;Demographics;Demographics;Demographics;Demographics;Demographics;Demographics;Demographics; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background; Cultural_background;Socio_economic_background;Socio_economic_background;Socio_economic_background;Socio_economic_background;Socio_economic_background;Living_situation_child;Living_situation_child;Living_situation_child;Living_situation_child; Current_living_situation; Current_living_situation; Current_living_situation; Current_living_situation; Current_living_situation; Current_living_situation; Current_living_situation; Current_living_situation;Visual_preferences ;Visual_preferences ;Visual_preferences ;Visual_preferences ;Visual_preferences ; Experience_drawings_task; Experience_drawings_task; Experience_drawings_task; Experience_drawings_task; Experience_drawings_task;
1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;4;4;4;4;5;5;5;5;5;5;5;5;6;6;6;6;6;7;7;7;7;7;
