Subject number;Age;Female;Handedness;German - Nationality;Italian - Nationality;Indian - Nationality;Ukrainian - Nationality;Iranian - Nationality;Cultural background - Western (European);Cultural background - Indian/Central Asian;Cultural background - Arabic/Middle Eastern;Cultural background - Persian;Cultural background - Southeast Asian;Cultural background - Latin;German - Language ;English - Language ;French - Language ;Spansih - Language ;Russian - Language ;Italian - Language ;Hindi - Language ;Ukrainian - Language ;Estimate of personal monthly budget in €;Current occupation;What is your highest level of education?;Thinking about your childhood and upbringing, what would describe the economic background of your family the best?;What is the highest level of education of your parents?;Where did you primarily live during your childhood?;In what environment did you spend the majority of your childhood?;In how many places did you live (longer than 3 month) before your 18th birthday. [Number of different places];On average, how many people lived in your childhood household? [Number of people];You provided a picture of your private kitchen. On average, how much time do you spend in this room each day?;How involved were you in designing and furnishing your kitchen? [ Not at all | All done by yourself];How satisfied are you with the visual appearance of your kitchen? [very unsatisfied | very satisfied];You provided a picture of your private bathroom. On average, how much time do you spend in this room each day?;How involved were you in designing and furnishing your bathroom? [ Not at all | All done by yourself];How satisfied are you with the visual appearance of your bathroom?  [Very unsatisfied | very satisfied];Who do you currently live with?;For how long do you live there?;Please indicate your visual preferences in interior design. [traditional | modern];Please indicate your visual preferences in interior design. [extravagant | minimalistic];Please indicate your visual preferences in interior design. [open/spacious | closed/defined];Please indicate your interest and experience in interior design. [no interest | very strong interest];Please indicate your interest and experience in interior design. [no experience | professional expertise];How would you rate the vividness of your imagined prototypical kitchen? [not vivid at all | as vivid as a real scene];How well were you able to translate the imagined kitchen into a drawing? [not well | very well];How would you rate the vividness of your imagined prototypical bathroom? [not vivid at all | as vivid as a real scene];How well were you able to translate the imagined bathroom into a drawing? [not well | very well];How would you rate your overall drawing abilities? [very weak | very strong];Did you use a specific strategy in the categorization task?
101;25;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;2;4;6;1;1;1;7;3;4;2;2;2;2;5;5;2;5;5;6;5;6;3;5;3;4;1
102;23;1;-1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;2;2;3;2;3;3;4;1;2;3;1;1;2;1;1;5;2;7;4;5;6;3;4;3;2;3;2;-1
103;22;1;-1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;2;3;3;3;1;2;4;4;3;1;6;3;1;5;4;1;6;6;2;6;2;5;2;5;1;5;
104;56;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;8;4;3;2;1;1;3;1;7;4;6;7;3;6;5;3;5;5;6;2;4;2;5;4;5;3;4;-1
105;42;0;-1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;1;3;;2;4;10;4;4;1;3;3;1;4;1;5;4;3;5;5;7;6;5;6;5;4;
106;34;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;5;3;4;4;3;1;3;4;4;2;1;3;2;1;3;5;4;7;7;2;6;2;6;6;5;5;2;1
109;35;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;3;2;3;3;5;1;2;1;4;2;1;1;1;1;1;6;1;4;3;1;5;3;3;3;3;3;2;
111;27;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;4;3;4;3;4;1;2;7;4;4;2;6;3;3;5;2;2;6;5;3;4;3;5;4;6;5;3;1
112;24;1;-1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;3;3;2;3;4;2;5;3;1;1;2;1;1;3;1;5;7;3;6;1;3;2;3;5;3;-1
113;32;0;-1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;4;2;3;2;3;4;4;6;2;3;1;4;2;1;5;5;1;5;6;3;4;1;5;5;3;2;3;
114;39;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;2;2;4;3;4;1;2;1;6;5;1;4;3;2;3;1;2;4;6;1;4;2;3;2;4;1;2;
116;26;1;-1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;3;3;3;1;1;1;4;1;1;3;1;1;6;4;5;2;1;4;5;5;2;2;2;2;4;-1
117;27;1;-1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;2;2;1;2;3;4;1;3;5;7;6;4;5;7;1;5;4;2;3;2;2;3;4;3;4;2;
