sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
226,1,0,categorization,1,bedroom,practice_bedroom_024.tif,112,0.116666666666667,0.0666666666666667,1.2,519.553931833,520.731712291,13,519.666759375,519.726726208,520.745428041,521.93880525,0,1.17778045800003
226,2,0,categorization,1,bedroom,practice_bedroom_023.tif,111,0.116666666666667,0.0666666666666667,1.81666666666667,521.949598458,524.282970375,13,522.066264416,522.132237416,524.30159875,526.11163825,0,2.33337191700002
226,3,0,categorization,1,livingroom,practice_livingroom_018.tif,117,0.116666666666667,0.0666666666666667,1.73333333333333,526.13071625,528.37933225,9,526.247724083,526.313618583,528.399570208,530.126297125,0,2.24861599999997
226,4,0,categorization,1,livingroom,practice_livingroom_024.tif,119,0.116666666666667,0.0666666666666667,1.75,530.143778541,532.3390445,13,530.26007025,530.32667425,532.3457105,534.089096958,1,2.19526595900004
226,5,0,categorization,1,livingroom,practice_livingroom_020.tif,118,0.116666666666667,0.0666666666666667,1.31666666666667,534.106704291,536.395430791,13,534.223523333,534.289401458,536.408782875,537.71883475,1,2.28872649999994
226,6,0,categorization,1,livingroom,practice_livingroom_013.tif,116,0.116666666666667,0.0666666666666667,1.01666666666667,537.737618666,539.555476291,13,537.854854041,537.920180291,539.572931875,540.582974458,1,1.81785762499999
226,7,0,categorization,1,bedroom,practice_bedroom_051.tif,114,0.116666666666667,0.0666666666666667,1.91666666666667,540.593162,542.684536875,9,540.7086495,540.772707083,542.692260333,544.602295875,1,2.09137487500004
226,8,0,categorization,1,livingroom,practice_livingroom_088.tif,120,0.116666666666667,0.0666666666666667,0.8,544.619553666,546.083125,13,544.736881041,544.802798708,546.088566291,546.881904791,1,1.46357133399999
226,9,0,categorization,1,bedroom,practice_bedroom_041.tif,113,0.116666666666667,0.0666666666666667,1.03333333333333,546.887228375,547.858827291,9,546.998900208,547.059985458,547.861535791,548.888236333,1,0.971598916000062
226,10,0,categorization,1,bedroom,practice_bedroom_054.tif,115,0.116666666666667,0.0666666666666667,0.783333333333333,548.899472583,551.035231208,13,549.0140055,549.080882333,551.049846208,551.826518041,0,2.13575862499999
