id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23
101,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,,,,,,
102,cabinet,glass door,shelf,fridge,kitchenette,sink,vase,plant,chair,lamp,door,counter,shelf,kitchen utensil,plant,stove,extractor hood,,,,,,
103,cabinet,glass door,shelf,fridge,kitchenette,sink,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,,,,,
104,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,vase,chair,lamp,door,counter,stove,,,,,,,,,,
105,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,door,counter,oven,,,,,,,,,
106,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,lamp,door,counter,microwave,shelf,kitchen utensil,plant,stove,,,,,,,,
109,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,shelf,kitchen utensil,plant,stove,extractor hood
111,cabinet,glass door,shelf,fridge,kitchenette,sink,vase,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,,,,
112,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,vase,plant,chair,lamp,door,counter,oven,microwave,,,,,,,,
113,cabinet,glass door,basket,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,vase,chair,lamp,door,counter,oven,shelf,kitchen utensil,plant,stove,extractor hood,,
114,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,,,,,,
116,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,
117,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,stove,,,
118,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove
119,cabinet,glass door,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,,,,,
120,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,chair,door,counter,oven,microwave,shelf,stove,extractor hood,,,,,
121,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,vase,plant,chair,door,counter,oven,microwave,stove,,,,,,,
122,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,chair,door,counter,oven,,,,,,,,,,,
123,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,extractor hood,,
124,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,stove,extractor hood,,,,,,,,,,,,
125,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,chair,door,counter,oven,microwave,stove,extractor hood,,,,,,,,,
126,cabinet,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,,,,,,,,,,,,,
127,cabinet,glass door,shelf,fridge,kitchenette,sink,plant,chair,door,counter,,,,,,,,,,,,,
129,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,chair,door,counter,oven,shelf,kitchen utensil,plant,extractor hood,,,,
130,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,
131,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,,,,,
132,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,chair,lamp,door,counter,oven,microwave,stove,,,,,,,,,
134,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,,,,,
135,cabinet,glass door,shelf,kitchenette,sink,bowl,chair,lamp,door,counter,stove,extractor hood,,,,,,,,,,,
136,cabinet,glass door,shelf,kitchenette,chair,lamp,door,counter,oven,microwave,stove,extractor hood,,,,,,,,,,,
137,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plant,chair,door,counter,microwave,stove,extractor hood,,,,,,,,
138,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,vase,plant,chair,door,counter,oven,microwave,stove,,,,,,,
139,cabinet,glass door,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,stove,extractor hood,,,,,
140,cabinet,glass door,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,vase,chair,door,counter,oven,,,,,,,,,
141,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,vase,chair,door,counter,stove,,,,,,,,,,,
