id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12
101,bathroom vanity,sink,mirror,window,toilet,rug,shower,person,dryer,washing machine,towel holder,shelf
102,towel holder,bathroom vanity,sink,toothbrush cup,toothbrush,mirror,bathtub,shower curtain,shelf,rug,washing machine,
103,bathroom vanity,sink,mirror,door,toilet,lamp,shower,ventilator,tiled floor,,,
104,bathtub,window,shower,towel holder,bathroom vanity,sink,mirror,lamp,shelf,toilet,rug,
105,bathtub,shelf,window,sink,mirror,lamp,shower,heater,rug,,,
106,bathtub,shower curtain,window,toilet,sink,mirror,rug,,,,,
109,plant,bathroom vanity,sink,mirror,chair,shower,bathtub,shower curtain,rug,plant,toilet,toilet brush
111,bathroom vanity,sink,toothbrush cup,mirror,bin,toilet,toilet brush,rug,window,shower,towel warmer,
112,bathroom vanity,sink,bathroom utensil,mirror,bathtub,window,shower curtain,shelf,plant,rug,,
113,toilet,window,plant,lamp,sink,mirror,shelf,bathtub,shower caddy,,,
114,toilet,shower,sink,mirror,rug,bin,washing machine,window,,,,
116,toilet,rug,window,bathtub,shower,shower caddy,sink,tiled wall,,,,
117,shower,toilet,rug,washing machine,bin,bathtub,shelf,,,,,
118,shower,water boiler,bathroom vanity,sink,toothbrush cup,shelf,mirror,towel holder,plant,toilet,,
119,bathroom vanity,sink,mirror,lamp,toilet,window,shower,rug,door,,,
120,toilet,sink,mirror,rug,bathtub,shower curtain,door,commode,,,,
121,door,towel holder,rug,bathroom vanity,sink,bathroom utensil,mirror,toilet,shower,,,
122,shower,shower caddy,shelf,rug,toilet,sink,,,,,,
123,box,sink,bathroom utensil,mirror,lamp,toilet brush,toilet,rug,bathtub,shelf,washing machine,
124,bathtub,shower curtain,shower caddy,wardrobe,bathroom vanity,sink,toothbrush cup,mirror,towel holder,door,toilet,bidet
125,window,toilet,bathtub,rug,towel holder,sink,mirror,shelf,door,,,
126,mirror,sink,toilet,washing machine,shower,light switch,door,,,,,
127,toilet,bathtub,shower caddy,shower,door,,,,,,,
129,sink,shelf,bathtub,window,shower,rug,toilet,,,,,
130,towel warmer,toilet,rug,bathtub,shower curtain,sink,mirror,shelf,,,,
131,shower,person,shower caddy,toilet,bathroom vanity,sink,toothbrush cup,mirror,,,,
132,door,shower,shower screen,rug,mirror,sink,toothbrush cup,shelf,toilet,bidet,,
134,door,bathroom vanity,sink,mirror,shower,shower screen,rug,window,toilet,,,
135,toilet,shelf,plant,door,wardrobe,clock,bathroom vanity,sink,mirror,rug,shower,bathtub
136,shelf,shower,shower screen,towel holder,shelf,sink,mirror,toilet,,,,
137,shampoo bottle,bathtub,brush,shower,shower curtain,toilet,,,,,,
138,sink,mirror,shower,lamp,bathtub,toilet,shelf,tiled floor,tiled wall,,,
139,toilet brush,toilet,shelf,bathroom vanity,sink,mirror,face,rug,bathtub,,,
140,bidet,toilet,towel holder,bathroom vanity,sink,mirror,rug,shower,shower screen,towel holder,chair,
141,toilet,bin,sink,mirror,towel holder,rug,shower,shower curtain,,,,
