id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16
101,shelf,bowl,book,counter,sink,stove,oven,extractor hood,window,kitchenette,bowl,fruit,person,cradle,rug,fridge
102,counter,stove,sink,cabinet,window,heater,table,chair,bowl,fruit,painting,,,,,
103,window,counter,sink,stove,kettle,cabinet,extractor hood,fridge,,,,,,,,
104,shelf,cabinet,sink,stove,oven,pot,extractor hood,lamp,fridge,table,chair,window,,,,
105,counter,cabinet,sink,dishwasher,stove,oven,extractor hood,fridge,,,,,,,,
106,counter,drying rack,stove,oven,sink,cabinet,window,table,chair,can,,,,,,
109,painting,sofa,rug,plant,kitchen island,chair,plate,shelf,toaster,counter,sink,stove,,,,
111,fridge,counter,sink,shelf,oven,stove,extractor hood,table,chair,plate,,,,,,
112,fridge,counter,washing machine,dishwasher,coffee machine,rice cooker,shelf,plate,plant,kitchen island,bowl,fruit,sink,chair,,
113,window,lamp,shelf,kitchen utensil,counter,sink,shelf,window,plant,pot,table,chair,plate,cutlery,cutting board,vegetable
114,window,counter,oven,stove,sink,shelf,table,chair,fridge,,,,,,,
116,plant,counter,oven,stove,sink,cutting board,shelf,kitchen supply,window,painting,cat,shelf,kitchen utensil,,,
117,counter,shelf,fridge,counter,washing machine,dishwasher,coffee machine,toaster,microwave,shelf,table,,,,,
118,counter,sink,cup,utensil crock,stove,extractor hood,kitchen utensil,table,chair,plate,cutlery,pot,gas cylinder,fridge,,
119,counter,sink,drying rack,plate,washing machine,fridge,oven,stove,lamp,dishwasher,coffee machine,toaster,microwave,shelf,rug,
120,shelf,door,clock,fridge,oven,stove,counter,utensil crock,knife holder,table,chair,,,,,
121,counter,cup,teapot,stove,extractor hood,bowl,fruit,sink,drying rack,plate,fridge,flower,microwave,shelf,,
122,counter,clock,counter,sink,stove,oven,washing machine,shelf,table,chair,,,,,,
123,table,chair,painting,door,rug,counter,microwave,TV,shelf,lamp,sink,oven,stove,fridge,,
124,window,table,chair,counter,sink,oven,dishwasher,fridge,counter,microwave,,,,,,
125,oven,stove,counter,toaster,sink,window,shelf,kitchen utensil,fridge,table,chair,,,,,
126,door,fridge,counter,sink,oven,stove,extractor hood,dishwasher,shelf,table,chair,,,,,
127,counter,can,toaster,plate,drying rack,sink,shelf,table,chair,plate,cup,,,,,
129,window,kitchen island,sink,stove,utensil crock,pan,shelf,,,,,,,,,
130,shelf,kitchen island,sink,dishwasher,oven,stove,shelf,fridge,table,chair,,,,,,
131,shelf,kitchen island,person,stove,table,child,chair,cup,glass,fridge,,,,,,
132,fridge,oven,stove,extractor hood,counter,shelf,kitchen utensil,shelf,microwave,table,chair,,,,,
134,counter,oven,stove,sink,toaster,window,fridge,,,,,,,,,
135,counter,kettle,dishwasher,oven,stove,sink,bin,window,shelf,,,,,,,
136,table,chair,counter,sink,dishwasher,oven,stove,extractor hood,fridge,,,,,,,
137,shelf,plate,counter,sink,stove,water filter,painting,spice rack,fridge,,,,,,,
138,painting,counter,kitchen utensil,oven,stove,extractor hood,dishwasher,shelf,table,chair,plate,cutlery,,,,
139,counter,sink,oven,stove,shelf,kitchen utensil,fridge,,,,,,,,,
140,counter,oven,stove,sink,shelf,window,plant,table,chair,plant,fridge,,,,,
141,counter,sink,stove,shelf,pot,plate,cup,clock,fridge,,,,,,,
