id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17
101,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,
102,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
103,bathtub,shower,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,,
104,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,toilet,shelf,soap bottle,picture,window,plant,
105,bathtub,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,toilet,shelf,soap bottle,,,,,
106,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
107,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
108,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
109,bathtub,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,
110,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
111,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
112,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,
113,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
114,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,mirror,lamp,toilet,shelf,soap bottle,picture,plant,,,,
115,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,mirror,lamp,toilet,shelf,soap bottle,picture,window,,,,
116,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
117,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
119,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
120,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
121,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
122,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,
123,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
124,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
126,shower,shampoo bottle,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,
127,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
128,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,plant,
129,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
130,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
132,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
133,bathtub,shampoo bottle,shower,shower screen,cabinet,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
