id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14
101,toilet,towel holder,sink,rug,bathtub,shower,shower curtain,door,,,,,,
102,window,bathtub,rug,lamp,toilet,window,shower,shower screen,towel holder,plant,,,,
103,shelf,window,rug,bin,window,bathtub,toilet,,,,,,,
104,toilet,bin,shelf,bin,window,shower,sink,,,,,,,
105,shelf,bottle,plant,bathtub,shower head,toilet,,,,,,,,
106,sink,cabinet,shower,shower screen,urinal,toilet,towel holder,bathtub,,,,,,
107,toilet,bidet,rug,bathtub,shower head,shampoo bottle,towel holder,window,sink,toothbrush,cabinet,mirror,door,
108,towel holder,shower,shower head,bin,toilet,heater,sink,mirror,washing machine,,,,,
109,sink,mirror,towel holder,shower,shower screen,rug,toilet,painting,shelf,,,,,
110,bathtub,shower,shower screen,rug,shelf,laundry basket,sink,toilet,,,,,,
111,washing machine,toilet,bathtub,painting,shower,shower screen,rug,sink,mirror,,,,,
112,shower,shower screen,towel holder,bin,toilet,sink,,,,,,,,
113,sink,mirror,door,lamp,bathtub,tiled floor,window,toilet,,,,,,
114,toilet,sink,mirror,towel holder,rug,bathtub,window,,,,,,,
115,sink,cabinet,window,toilet,shelf,painting,bathtub,rug,shower,shower screen,,,,
116,sink,mirror,window,bin,toilet,lamp,shelf,bottle,shower,shower head,door,,,
117,sink,mirror,shelf,makeup product,bidet,toilet,wall,shower,shower head,shower curtain,soap,,,
119,bathtub,shower head,shower curtain,rug,shelf,window,lamp,bin,toilet,rug,sink,mirror,cup,toothbrush
120,sink,cabinet,toilet,towel holder,rug,bathtub,shelf,soap,,,,,,
121,bathtub,shelf,shampoo bottle,shower head,toilet,slipper,sink,cabinet,mirror,rack,cloth,,,
122,cabinet,sink,mirror,bathtub,shower,shower screen,toilet,,,,,,,
123,cabinet,sink,mirror,window,toilet,lamp,shower,shower screen,bathtub,shower head,,,,
124,bathtub,shampoo bottle,rug,cabinet,sink,plant,toilet,window,,,,,,
126,shower,shower screen,table,box,cream,mirror,door,bin,toilet,,,,,
127,cabinet,towel holder,shower,shower screen,sink,mirror,toilet,bin,,,,,,
128,mirror,shelf,soap,toilet,shower,shower screen,rug,slipper,,,,,,
129,sink,cabinet,mirror,bathtub,window,shower,shower screen,toilet,,,,,,
130,sink,mirror,rug,plant,window,bathtub,toilet,,,,,,,
132,sink,shelf,bottle,toilet,window,shower,shower screen,rug,,,,,,
133,shelf,toilet,door,rug,cabinet,sink,mirror,shower,shower screen,bathtub,,,,
