,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
101_bat.png,-2.3841858e-07,0.08335781,0.11637682,0.12351221,0.09921008,0.06101209,0.10975033,0.09375787,0.044266343,0.092209935,0.094010115,0.061903656,0.054033637,0.060717225,0.07195884,0.1199556,0.08512914,0.042319536,0.069552064,0.114562094,0.062829316,0.040288806,0.10691005,0.0678944,0.04514706,0.0543198,0.076535165,0.078115165,0.102874875,0.061469913
102_bat.png,0.08335781,-2.3841858e-07,0.08283949,0.08713329,0.06110239,0.06804752,0.059991002,0.07980734,0.06941891,0.10355592,0.08194423,0.093844175,0.07057166,0.077524185,0.04702735,0.09682727,0.08732277,0.066624165,0.0908882,0.11847192,0.088519156,0.075580716,0.06026113,0.1014241,0.07557261,0.066886544,0.10747522,0.072138846,0.061130285,0.07708228
103_bat.png,0.11637682,0.08283949,-1.1920929e-07,0.039160013,0.07018715,0.06466842,0.046671093,0.08246446,0.09866679,0.11750901,0.078529716,0.101201236,0.085271716,0.091244996,0.07645494,0.10592049,0.070040405,0.09671754,0.08214831,0.1129812,0.09203458,0.120369375,0.0352363,0.11272794,0.10143578,0.07678342,0.13438171,0.09892315,0.034543157,0.0851832
104_bat.png,0.12351221,0.08713329,0.039160013,0.0,0.08786237,0.093018234,0.052428484,0.09394753,0.100302756,0.11755675,0.099318266,0.10365379,0.10272539,0.10912812,0.08342159,0.1100778,0.07314116,0.10304093,0.08180934,0.113900185,0.092968225,0.12341982,0.039995193,0.10616499,0.105293155,0.08712441,0.15114063,0.10355544,0.03439772,0.09340453
105_bat.png,0.09921008,0.06110239,0.07018715,0.08786237,-1.1920929e-07,0.06891626,0.07488799,0.08596581,0.07227731,0.07839823,0.09202337,0.08502686,0.075927734,0.08568025,0.058097005,0.11162603,0.09019172,0.08338487,0.07694256,0.09749806,0.09339869,0.08446503,0.062173247,0.10184449,0.07350737,0.07259083,0.12683433,0.08520293,0.07857269,0.065722585
106_bat.png,0.06101209,0.06804752,0.06466842,0.093018234,0.06891626,0.0,0.055892885,0.06707591,0.050352275,0.08569062,0.05893755,0.075698495,0.045870602,0.060341835,0.062485695,0.08448976,0.06803954,0.055501997,0.06858194,0.08455026,0.070216894,0.06456953,0.06947672,0.085455894,0.050658166,0.050579846,0.07844895,0.06991124,0.07062149,0.04840207
107_bat.png,0.10975033,0.059991002,0.046671093,0.052428484,0.07488799,0.055892885,0.0,0.08262342,0.08990538,0.107305944,0.07230055,0.094412744,0.089063644,0.09393293,0.06560695,0.10311556,0.07532227,0.08701974,0.09241521,0.10746777,0.08596814,0.103741765,0.03702116,0.1055159,0.093431056,0.07407957,0.11218387,0.08362341,0.04526359,0.076618135
108_bat.png,0.09375787,0.07980734,0.08246446,0.09394753,0.08596581,0.06707591,0.08262342,0.0,0.06098628,0.06301516,0.06467003,0.087441206,0.0610466,0.08684778,0.08374739,0.073420405,0.04352808,0.072891295,0.052893877,0.1011675,0.10013795,0.107902825,0.08284867,0.098894715,0.08102238,0.06017536,0.13261509,0.11284757,0.07172668,0.058560073
109_bat.png,0.044266343,0.06941891,0.09866679,0.100302756,0.07227731,0.050352275,0.08990538,0.06098628,0.0,0.052597463,0.07433784,0.048674285,0.043064177,0.06161475,0.05878675,0.071639,0.05806017,0.03863561,0.051369786,0.07672912,0.07194978,0.047371745,0.079391,0.0670135,0.04474473,0.0470047,0.09204978,0.07567203,0.06962836,0.038238347
110_bat.png,0.092209935,0.10355592,0.11750901,0.11755675,0.07839823,0.08569062,0.107305944,0.06301516,0.052597463,-1.1920929e-07,0.07517892,0.05760926,0.07288647,0.09569585,0.10710591,0.09056318,0.06424713,0.064611435,0.064677596,0.09266651,0.10174936,0.09851128,0.11025447,0.09089953,0.07334745,0.063827395,0.12945074,0.10094011,0.098744035,0.055972576
