,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
101_bat.png,-1.1920929e-07,0.047998548,0.08599782,0.076355934,0.14096153,0.057657897,0.08250451,0.06557417,0.12217224,0.14401668,0.05843544,0.068030655,0.09292519,0.109096766,0.05140972,0.08005881,0.2286098,0.08221078,0.058642387,0.1342994,0.060314715,0.064441025,0.14178991,0.06445968,0.07744551,0.07887894,0.12734008,0.076483965,0.09433824,0.16376412
102_bat.png,0.047998548,-1.1920929e-07,0.07801676,0.07942021,0.13133383,0.05100453,0.07299781,0.061344147,0.13890159,0.16936123,0.06297803,0.07542288,0.08294463,0.12819326,0.04095918,0.074175,0.252163,0.06489915,0.069369435,0.11909032,0.06730914,0.05744028,0.15860009,0.07639146,0.07975328,0.07712889,0.14231426,0.047794104,0.06931615,0.19928646
103_bat.png,0.08599782,0.07801676,0.0,0.08227861,0.108772874,0.049118042,0.054056644,0.07014042,0.15861422,0.15270162,0.065636516,0.07382786,0.0717023,0.12462795,0.07139164,0.06682849,0.20822883,0.06285226,0.045175552,0.07751787,0.044925332,0.066866696,0.13858038,0.067460775,0.07261127,0.073687196,0.14849281,0.08062577,0.0521695,0.16408771
104_bat.png,0.076355934,0.07942021,0.08227861,1.1920929e-07,0.10967815,0.0761013,0.05862266,0.074115336,0.13960743,0.15739548,0.053198934,0.08035576,0.066714644,0.14105868,0.05979073,0.073102355,0.23709351,0.061880767,0.065166354,0.09740031,0.053863466,0.081269324,0.16205859,0.046511173,0.06960118,0.06524634,0.11982596,0.074255586,0.079155385,0.18514651
105_bat.png,0.14096153,0.13133383,0.108772874,0.10967815,1.1920929e-07,0.11513829,0.10115665,0.08470535,0.19409925,0.14578581,0.10934085,0.11998451,0.07549077,0.17617822,0.09441841,0.08837652,0.24541783,0.09607792,0.096398294,0.06572747,0.09502208,0.098231435,0.17096406,0.11151016,0.08115995,0.112702966,0.13746405,0.09422672,0.08036947,0.19718254
106_bat.png,0.057657897,0.05100453,0.049118042,0.0761013,0.11513829,0.0,0.04912889,0.048905015,0.132159,0.14157403,0.052880585,0.08245295,0.09049016,0.12760389,0.05419904,0.068104506,0.2034936,0.052730322,0.052179575,0.093063116,0.05244577,0.061540246,0.117567,0.06454927,0.05932784,0.07380223,0.12544829,0.0739553,0.05272174,0.15283948
107_bat.png,0.08250451,0.07299781,0.054056644,0.05862266,0.10115665,0.04912889,-1.1920929e-07,0.06068349,0.14710331,0.15567923,0.057260454,0.09441817,0.07625806,0.13978648,0.061990798,0.070693135,0.21620113,0.05664742,0.06914312,0.08745861,0.051761508,0.07557964,0.14089686,0.05894953,0.06355524,0.09460807,0.12765199,0.0794487,0.051576138,0.17726052
108_bat.png,0.06557417,0.061344147,0.07014042,0.074115336,0.08470535,0.048905015,0.06068349,1.1920929e-07,0.14635575,0.11960685,0.05096507,0.085431576,0.05449748,0.12110627,0.049586177,0.044699192,0.21112323,0.07400185,0.059173703,0.07127833,0.04986471,0.04172653,0.14213324,0.06031835,0.052072227,0.06249076,0.09941298,0.047119677,0.04431677,0.17114317
109_bat.png,0.12217224,0.13890159,0.15861422,0.13960743,0.19409925,0.132159,0.14710331,0.14635575,0.0,0.055855036,0.12470257,0.1546846,0.16291964,0.042814553,0.1308949,0.15205419,0.10988319,0.12852508,0.1445272,0.1755659,0.10163498,0.110544145,0.046099722,0.12786812,0.14725018,0.14673555,0.044771314,0.14938533,0.15123338,0.05041814
110_bat.png,0.14401668,0.16936123,0.15270162,0.15739548,0.14578581,0.14157403,0.15567923,0.11960685,0.055855036,0.0,0.14398968,0.15708637,0.14175981,0.056922615,0.15422058,0.13913149,0.07097542,0.146348,0.13593012,0.1368795,0.11018485,0.12122631,0.047422707,0.13861084,0.13871455,0.13421959,0.047673702,0.14853859,0.14688748,0.039447546
