,101_bat1.png,101_bat2.png,102_bat.png,103_bat.png,104_bat1.png,104_bat2.png,105_bat.png,105_bat2.png,106_bat.png,107_bat.png,107_bat2.png,108_bat.png,109_bat.png,109_bat2.png,110_bat.png,111_bat.png,112_bat.png,112_bat2.png,113_bat.png,114_bat.png,115_bat1.png,115_bat2.png,116_bat1.png,116_bat2.png,117_bat1.png,117_bat2.png,118_bat.png,119_bat.png,120_bat1.png,120_bat2.png,121_bat1.png,121_bat2.png,122_bat1.png,122_bat2.png,123_bat1.png,123_bat2.png,124_bat.png,126_bat.png,127_bat.png,128_bat1.png,128_bat2.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
101_bat1.png,0.0,0.15681684,0.12529981,0.11119723,0.11089969,0.10671896,0.1062628,0.14544499,0.095716596,0.15825981,0.14694041,0.10227412,0.06345725,0.12899595,0.080468655,0.120584965,0.09162104,0.113209724,0.118502736,0.16992313,0.10041118,0.1065678,0.1855402,0.23145318,0.12862223,0.1847918,0.12129742,0.10403597,0.2333628,0.09826827,0.09373683,0.11116421,0.10769224,0.13866234,0.18030262,0.20196998,0.13000286,0.10115671,0.07126796,0.16435486,0.23167998,0.095089436,0.09165323,0.18415213,0.11123574
101_bat2.png,0.15681684,1.1920929e-07,0.12275708,0.216452,0.17565942,0.17631179,0.09087795,0.12408888,0.12715441,0.112659276,0.105183125,0.11029565,0.09871948,0.17463028,0.12854862,0.12094653,0.1202265,0.18402588,0.090275526,0.17723626,0.10291165,0.17502981,0.11779916,0.13424045,0.093803644,0.18136615,0.09958029,0.1783576,0.17424,0.19101262,0.1604039,0.105401516,0.11261761,0.18088156,0.097596526,0.15322912,0.1166023,0.08479673,0.13600934,0.14050537,0.19761908,0.11339724,0.14011759,0.080244064,0.14700592
102_bat.png,0.12529981,0.12275708,-1.1920929e-07,0.1821214,0.13251239,0.12726605,0.07324028,0.1694721,0.11679399,0.14790154,0.12060279,0.104284346,0.09657657,0.16931105,0.13155329,0.12648308,0.10151684,0.17153203,0.16402912,0.08366758,0.1396665,0.1344418,0.16883731,0.261963,0.13703322,0.24543935,0.11297268,0.12536615,0.27352822,0.16856015,0.16594195,0.11294544,0.09938991,0.13521945,0.18002105,0.2323525,0.10765529,0.097702324,0.11146736,0.15397215,0.27369606,0.09217316,0.121782064,0.14275235,0.1347062
103_bat.png,0.11119723,0.216452,0.1821214,1.7881393e-07,0.13893569,0.14468426,0.17678821,0.16242063,0.0870356,0.1561889,0.22778541,0.14188385,0.14534855,0.10273039,0.11460245,0.14801759,0.17366958,0.102849364,0.1871177,0.1778338,0.1467843,0.13442951,0.26867753,0.26389694,0.2032808,0.20170665,0.13098681,0.1209631,0.18552881,0.23030186,0.07810849,0.12432313,0.19459069,0.10560906,0.24568969,0.16061646,0.14362556,0.124955654,0.132326,0.25704992,0.17820406,0.099663496,0.121917844,0.26561528,0.11885297
104_bat1.png,0.11089969,0.17565942,0.13251239,0.13893569,1.7881393e-07,0.13156426,0.12768525,0.17554247,0.11637002,0.14509308,0.19500172,0.12701869,0.11885595,0.16859639,0.13851571,0.12091601,0.15425467,0.15749037,0.13519508,0.13928562,0.1348573,0.11383885,0.22695416,0.2787497,0.15544903,0.17643934,0.12550664,0.09645069,0.22797841,0.21427286,0.14335537,0.13325858,0.12919855,0.13499522,0.20688993,0.21054107,0.15050137,0.102627635,0.09832442,0.17470986,0.21539831,0.08014232,0.094787896,0.21630359,0.12812674
104_bat2.png,0.10671896,0.17631179,0.12726605,0.14468426,0.13156426,-2.3841858e-07,0.136648,0.15258777,0.096085906,0.22204214,0.18069011,0.09241897,0.10817933,0.16093844,0.10528231,0.10417485,0.10632062,0.1544419,0.14657581,0.15317857,0.1064415,0.08214742,0.20908296,0.25899303,0.14521825,0.2403202,0.1392777,0.076428175,0.28973716,0.16683471,0.14098346,0.09676468,0.115703225,0.09730166,0.1689418,0.24355716,0.11787331,0.13628,0.07338071,0.20072544,0.27361047,0.1342876,0.10354638,0.18850207,0.107866585
105_bat.png,0.1062628,0.09087795,0.07324028,0.17678821,0.12768525,0.136648,0.0,0.11372268,0.11020923,0.13150823,0.1310749,0.06437105,0.07637966,0.16533202,0.11161351,0.10741413,0.10363424,0.17113853,0.12455034,0.14907992,0.10988748,0.13637447,0.13763517,0.22904742,0.11057055,0.206056,0.12796623,0.119274616,0.25390434,0.17226982,0.14962316,0.0976696,0.08808172,0.1734299,0.14646578,0.21354342,0.0855304,0.091314554,0.099654794,0.13738227,0.25024533,0.11073923,0.07468033,0.1102587,0.1036191
105_bat2.png,0.14544499,0.12408888,0.1694721,0.16242063,0.17554247,0.15258777,0.11372268,-1.1920929e-07,0.1298784,0.17471826,0.17046839,0.1095016,0.13256323,0.14089954,0.12674487,0.09908068,0.12042427,0.16463727,0.13704664,0.21264255,0.13782883,0.15562439,0.1557312,0.20304894,0.13916528,0.1777876,0.13113183,0.16442412,0.22301346,0.22601509,0.11351138,0.11205673,0.14035386,0.14629632,0.1556803,0.1996249,0.11810118,0.11967838,0.114616156,0.1889391,0.23460555,0.14621902,0.11288369,0.1527412,0.14243627
106_bat.png,0.095716596,0.12715441,0.11679399,0.0870356,0.11637002,0.096085906,0.11020923,0.1298784,-2.3841858e-07,0.10613108,0.15357518,0.09591144,0.07521963,0.12026131,0.07188952,0.09137964,0.10542178,0.1035105,0.11852163,0.11468077,0.09390783,0.113580346,0.19574815,0.19343,0.13325936,0.18827897,0.08661044,0.08009732,0.17089272,0.17924976,0.07673156,0.05926621,0.14392483,0.10669285,0.14557004,0.14058465,0.08332473,0.07269919,0.07973564,0.16933441,0.16546875,0.07437557,0.08563566,0.18573016,0.08068442
107_bat.png,0.15825981,0.112659276,0.14790154,0.1561889,0.14509308,0.22204214,0.13150823,0.17471826,0.10613108,0.0,0.14304334,0.13725919,0.11979318,0.14455622,0.12852514,0.16105056,0.1801911,0.13135314,0.13471252,0.16300416,0.14546144,0.18249208,0.1989516,0.15875179,0.15136337,0.17732155,0.1126892,0.18223095,0.13342297,0.23881477,0.12951231,0.12180042,0.17569816,0.18115687,0.14692897,0.13773274,0.12989151,0.09246278,0.17257577,0.19863361,0.14746225,0.086485386,0.13354623,0.17659664,0.1271751
107_bat2.png,0.14694041,0.105183125,0.12060279,0.22778541,0.19500172,0.18069011,0.1310749,0.17046839,0.15357518,0.14304334,-1.1920929e-07,0.14950842,0.12737298,0.20645213,0.14251167,0.15596437,0.13484484,0.19143963,0.13991004,0.17405939,0.13181585,0.18150628,0.11979747,0.18908381,0.10240328,0.21551168,0.13539672,0.18264776,0.22422522,0.17771745,0.18499821,0.14170349,0.12348026,0.19918585,0.15142912,0.20769721,0.1486839,0.12525249,0.15588528,0.15869164,0.2593317,0.1482994,0.16783029,0.112849176,0.18573737
108_bat.png,0.10227412,0.11029565,0.104284346,0.14188385,0.12701869,0.09241897,0.06437105,0.1095016,0.09591144,0.13725919,0.14950842,1.7881393e-07,0.09652996,0.14025539,0.101694345,0.07474196,0.108909726,0.17723233,0.11237967,0.17824554,0.085116744,0.105463326,0.15143514,0.21050537,0.10146463,0.18317574,0.11501622,0.1033563,0.24401993,0.17331296,0.13130593,0.09235573,0.111515045,0.14336932,0.12659097,0.20735514,0.07127738,0.0879544,0.094953954,0.15096164,0.2511713,0.11645937,0.07679403,0.1288451,0.08279145
109_bat.png,0.06345725,0.09871948,0.09657657,0.14534855,0.11885595,0.10817933,0.07637966,0.13256323,0.07521963,0.11979318,0.12737298,0.09652996,1.1920929e-07,0.1480639,0.064852476,0.12127292,0.08238906,0.12295115,0.10992789,0.14417267,0.09212273,0.12444091,0.1728741,0.21780598,0.11428404,0.21339911,0.109917164,0.09977847,0.22663873,0.15173149,0.13000357,0.077843666,0.08461189,0.14615834,0.14107043,0.18875861,0.104580104,0.08395183,0.07165623,0.14944708,0.22054517,0.06862855,0.086007714,0.14028072,0.1001668
109_bat2.png,0.12899595,0.17463028,0.16931105,0.10273039,0.16859639,0.16093844,0.16533202,0.14089954,0.12026131,0.14455622,0.20645213,0.14025539,0.1480639,0.0,0.13838482,0.1274246,0.15829998,0.048357844,0.16161388,0.2195971,0.13070422,0.11417091,0.20635033,0.18265039,0.20867074,0.15588552,0.12567097,0.18154824,0.14154112,0.1773544,0.07685101,0.13207912,0.16873133,0.1019963,0.2172538,0.10023081,0.13667059,0.123701036,0.14780557,0.18275762,0.12274712,0.14102036,0.117236614,0.2260192,0.12558389
110_bat.png,0.080468655,0.12854862,0.13155329,0.11460245,0.13851571,0.10528231,0.11161351,0.12674487,0.07188952,0.12852514,0.14251167,0.101694345,0.064852476,0.13838482,2.3841858e-07,0.10406923,0.11147034,0.114016056,0.14075446,0.15692234,0.09910214,0.116405845,0.18339479,0.21439612,0.1218158,0.1957094,0.1197834,0.09006065,0.18688357,0.16289592,0.10800755,0.067634225,0.10984343,0.13265431,0.16424781,0.16054642,0.10507792,0.090489864,0.06459564,0.21197098,0.17449766,0.08682394,0.09287363,0.17488188,0.11329484
111_bat.png,0.120584965,0.12094653,0.12648308,0.14801759,0.12091601,0.10417485,0.10741413,0.09908068,0.09137964,0.16105056,0.15596437,0.07474196,0.12127292,0.1274246,0.10406923,-1.1920929e-07,0.113478065,0.1386013,0.1256336,0.18255264,0.08558643,0.090361595,0.15504283,0.20271069,0.11323857,0.1538884,0.09818339,0.10324323,0.20343757,0.1886614,0.10892624,0.08620989,0.11844349,0.11891782,0.14419097,0.17658591,0.10654068,0.097777724,0.08118904,0.1656425,0.21395475,0.11679995,0.100333214,0.12738359,0.11702156
