,101_kit.png,102_kit.png,103_kit.png,104_kit.png,105_kit.png,106_kit.png,107_kit.png,108_kit.png,109_kit.png,110_kit.png,111_kit.png,112_kit.png,113_kit.png,114_kit.png,115_kit.png,116_kit.png,117_kit.png,119_kit.png,120_kit.png,121_kit.png,122_kit.png,123_kit.png,124_kit.png,126_kit.png,127_kit.png,128_kit.png,129_kit.png,130_kit.png,132_kit.png,133_kit.png
101_kit.png,0.0,0.04924369,0.06989473,0.072093666,0.08211213,0.073583126,0.07004738,0.0762223,0.055874825,0.051997006,0.042252064,0.078050256,0.13154519,0.16548431,0.073927104,0.053852558,0.06012851,0.03204012,0.06593263,0.05183041,0.06419486,0.044958472,0.09768009,0.04884857,0.0646981,0.062240362,0.057602644,0.06558865,0.092547715,0.0708915
102_kit.png,0.04924369,5.9604645e-08,0.092243314,0.06036836,0.083042085,0.074570835,0.05823171,0.04498589,0.043352067,0.08325744,0.060829878,0.08331883,0.1561451,0.18198496,0.10221267,0.07587826,0.068142295,0.06407583,0.1122756,0.043894827,0.0818758,0.07942712,0.059944987,0.03690195,0.056385517,0.052807927,0.07585907,0.06466454,0.11546826,0.06715298
103_kit.png,0.06989473,0.092243314,0.0,0.08428925,0.11202729,0.05998242,0.093215704,0.07960844,0.09996146,0.08151901,0.07416093,0.07062179,0.131881,0.18427622,0.08996904,0.09137851,0.090353906,0.076357484,0.08537722,0.07167733,0.07667142,0.09407371,0.13242,0.07432401,0.0827173,0.09882343,0.09725922,0.092975795,0.095309734,0.10141182
104_kit.png,0.072093666,0.06036836,0.08428925,0.0,0.101587236,0.08675605,0.07784915,0.05274898,0.064733446,0.10243547,0.07334614,0.08350307,0.13608319,0.1961472,0.09605324,0.090720534,0.08920038,0.07247549,0.09987491,0.04368472,0.08690894,0.084041,0.08917487,0.04734111,0.055737972,0.062657356,0.099959135,0.10503888,0.12313986,0.07583392
105_kit.png,0.08211213,0.083042085,0.11202729,0.101587236,0.0,0.072081685,0.0930109,0.090904,0.083496094,0.090801716,0.092634976,0.096101284,0.17090857,0.18239725,0.11392379,0.079877675,0.059568346,0.103640914,0.13190114,0.079065084,0.090301275,0.105434954,0.098489225,0.06062448,0.10695648,0.08349013,0.097534835,0.094907224,0.09340143,0.109716
106_kit.png,0.073583126,0.074570835,0.05998242,0.08675605,0.072081685,0.0,0.090917945,0.07642102,0.09705341,0.07780856,0.08113468,0.06695086,0.08654249,0.18438697,0.06359589,0.097456634,0.05213815,0.09343469,0.081469715,0.07156938,0.057700515,0.09866643,0.08436799,0.06491107,0.0682134,0.08874452,0.087736666,0.07904279,0.066462934,0.10301715
107_kit.png,0.07004738,0.05823171,0.093215704,0.07784915,0.0930109,0.090917945,-2.3841858e-07,0.07316375,0.07922125,0.095544696,0.084616005,0.09902692,0.18605703,0.17315185,0.13094997,0.08573216,0.066054344,0.08330494,0.12842661,0.04946649,0.11484712,0.10998964,0.09194136,0.057384014,0.082980394,0.08909845,0.08098918,0.09104347,0.12572008,0.06802863
108_kit.png,0.0762223,0.04498589,0.07960844,0.05274898,0.090904,0.07642102,0.07316375,-2.3841858e-07,0.048609078,0.09538114,0.073212266,0.09105533,0.11976874,0.19189769,0.10147929,0.08415693,0.08411038,0.08836186,0.11229837,0.05637425,0.070662975,0.093235254,0.07647616,0.040129244,0.061312318,0.064701796,0.093753815,0.065283656,0.09628296,0.08575821
109_kit.png,0.055874825,0.043352067,0.09996146,0.064733446,0.083496094,0.09705341,0.07922125,0.048609078,-1.1920929e-07,0.08418065,0.0677436,0.07666409,0.1601522,0.19506466,0.1150043,0.081086874,0.08592719,0.0518502,0.10551065,0.046423316,0.09013784,0.083654046,0.068689466,0.04606825,0.06300175,0.06207776,0.07915616,0.08033091,0.10857862,0.072892964
110_kit.png,0.051997006,0.08325744,0.08151901,0.10243547,0.090801716,0.07780856,0.095544696,0.09538114,0.08418065,0.0,0.053327024,0.062508225,0.1393758,0.17905974,0.09283024,0.071092844,0.07247913,0.05417335,0.07017434,0.088122725,0.06454456,0.06896269,0.120377064,0.06775296,0.09865677,0.09151417,0.03354901,0.07463688,0.0915792,0.10717726
