,101_kit.png,102_kit.png,103_kit.png,104_kit.png,105_kit.png,106_kit.png,107_kit.png,108_kit.png,109_kit.png,110_kit.png,111_kit.png,112_kit.png,113_kit.png,114_kit.png,115_kit.png,116_kit.png,117_kit.png,119_kit.png,120_kit.png,121_kit.png,122_kit.png,123_kit.png,124_kit.png,126_kit.png,127_kit.png,128_kit.png,129_kit.png,130_kit.png,132_kit.png,133_kit.png
101_kit.png,0.0,0.05808258,0.03495294,0.058315635,0.09426093,0.046345115,0.06322825,0.06089413,0.087337136,0.091803014,0.064578295,0.073090434,0.050328135,0.19223785,0.06587857,0.03832674,0.0633508,0.048102796,0.034756184,0.07383752,0.07395148,0.06586164,0.03704512,0.032684565,0.071343005,0.049220204,0.04935527,0.062284112,0.072633445,0.065992415
102_kit.png,0.05808258,-1.1920929e-07,0.06205088,0.08120823,0.09797156,0.04540515,0.07131487,0.08983517,0.110572696,0.040738583,0.07155156,0.08313501,0.0552966,0.21481669,0.08503914,0.06827378,0.06757349,0.07043159,0.0876053,0.103208065,0.06323832,0.07253027,0.05188918,0.05828893,0.09266931,0.08607364,0.05013168,0.08512282,0.102552295,0.07675338
103_kit.png,0.03495294,0.06205088,0.0,0.06422377,0.075300515,0.057328403,0.049336076,0.072740376,0.10068452,0.0936082,0.05945599,0.07251465,0.04224074,0.20450205,0.069349706,0.041306674,0.05958885,0.053257763,0.06234324,0.06825781,0.055474877,0.068379164,0.043034434,0.027128696,0.06694734,0.06028998,0.05141461,0.083322585,0.07511884,0.0574435
104_kit.png,0.058315635,0.08120823,0.06422377,0.0,0.07059443,0.07951164,0.064884305,0.06900525,0.09821665,0.09976697,0.091603994,0.1007241,0.07057452,0.21603012,0.06765586,0.060614824,0.05735272,0.10444468,0.0614177,0.107201636,0.0951041,0.0739367,0.057478786,0.05823958,0.11082631,0.09881067,0.09274936,0.09419352,0.09008312,0.06846708
105_kit.png,0.09426093,0.09797156,0.075300515,0.07059443,0.0,0.10191983,0.09757769,0.11786616,0.13554388,0.11805004,0.08823991,0.110043764,0.08089465,0.22823751,0.10487938,0.07364726,0.08283776,0.12283105,0.10706085,0.10765165,0.10251778,0.09386158,0.0841285,0.07060778,0.14102781,0.10413492,0.10580659,0.14779055,0.11822474,0.08165896
106_kit.png,0.046345115,0.04540515,0.057328403,0.07951164,0.10191983,-1.1920929e-07,0.06227708,0.076993644,0.06605184,0.057175517,0.06958699,0.06865519,0.047353983,0.17180419,0.07083404,0.048344493,0.06952083,0.06495142,0.06846303,0.07479626,0.06696105,0.05440247,0.046898425,0.05297011,0.066330194,0.06947565,0.05131638,0.056076825,0.08380216,0.06257427
107_kit.png,0.06322825,0.07131487,0.049336076,0.064884305,0.09757769,0.06227708,0.0,0.07630646,0.10248631,0.09705901,0.0775668,0.09197605,0.06280571,0.20560414,0.071697235,0.059393823,0.054853857,0.077546835,0.067159,0.084132195,0.06433451,0.059075236,0.05616212,0.05127591,0.07177544,0.071088076,0.07007712,0.06989288,0.09556216,0.05968815
108_kit.png,0.06089413,0.08983517,0.072740376,0.06900525,0.11786616,0.076993644,0.07630646,-1.1920929e-07,0.09225607,0.11796391,0.1021775,0.084167,0.05792272,0.23563886,0.050317883,0.07408619,0.066040695,0.085641265,0.064882815,0.07125378,0.09769851,0.075745225,0.04733956,0.06520486,0.07181263,0.11080098,0.083320856,0.0728966,0.07481241,0.08605313
109_kit.png,0.087337136,0.110572696,0.10068452,0.09821665,0.13554388,0.06605184,0.10248631,0.09225607,1.1920929e-07,0.10932106,0.13265884,0.115347266,0.09785801,0.1827991,0.06826198,0.075455606,0.10772133,0.11130148,0.09128487,0.08713144,0.12575638,0.06774807,0.08527768,0.1064232,0.086904824,0.12149805,0.10500586,0.06326729,0.0957765,0.10276687
110_kit.png,0.091803014,0.040738583,0.0936082,0.09976697,0.11805004,0.057175517,0.09705901,0.11796391,0.10932106,0.0,0.10293567,0.10537815,0.07782489,0.22416937,0.10786748,0.09072077,0.09317666,0.110492826,0.10971129,0.1382612,0.096847594,0.102039516,0.07665753,0.08963752,0.12551951,0.1125679,0.07353157,0.10962695,0.13418776,0.09839356
111_kit.png,0.064578295,0.07155156,0.05945599,0.091603994,0.08823991,0.06958699,0.0775668,0.1021775,0.13265884,0.10293567,-1.1920929e-07,0.06592739,0.073109984,0.23012656,0.1082688,0.0645926,0.07237315,0.06704068,0.08382285,0.10557741,0.06998813,0.086636245,0.06321001,0.049536407,0.09857839,0.06282079,0.06426674,0.11526507,0.10747832,0.05125034
112_kit.png,0.073090434,0.08313501,0.07251465,0.1007241,0.110043764,0.06865519,0.09197605,0.084167,0.115347266,0.10537815,0.06592739,-1.1920929e-07,0.077272415,0.23108923,0.07323742,0.07466352,0.07542735,0.07190335,0.0845294,0.087097764,0.060310125,0.091861844,0.062027097,0.057334185,0.09063172,0.083691776,0.07342541,0.109915316,0.078947365,0.07586646
113_kit.png,0.050328135,0.0552966,0.04224074,0.07057452,0.08089465,0.047353983,0.06280571,0.05792272,0.09785801,0.07782489,0.073109984,0.077272415,-2.3841858e-07,0.20869488,0.06918591,0.04805535,0.04673785,0.06257808,0.066094875,0.08008599,0.045590043,0.069471955,0.037858486,0.053504825,0.05877787,0.08380431,0.05050975,0.07981104,0.10123128,0.06333017
114_kit.png,0.19223785,0.21481669,0.20450205,0.21603012,0.22823751,0.17180419,0.20560414,0.23563886,0.1827991,0.22416937,0.23012656,0.23108923,0.20869488,-1.1920929e-07,0.2052775,0.1910153,0.24209702,0.2099694,0.21061403,0.22344029,0.24199772,0.19528425,0.22582412,0.19015455,0.21949434,0.21649337,0.2151643,0.20014447,0.19809699,0.20299196
115_kit.png,0.06587857,0.08503914,0.069349706,0.06765586,0.10487938,0.07083404,0.071697235,0.050317883,0.06826198,0.10786748,0.1082688,0.07323742,0.06918591,0.2052775,0.0,0.066408336,0.059050858,0.076818705,0.06494576,0.07022512,0.088269055,0.06704897,0.047263384,0.069251835,0.07967019,0.10643327,0.08153391,0.068620324,0.052080154,0.08706361
116_kit.png,0.03832674,0.06827378,0.041306674,0.060614824,0.07364726,0.048344493,0.059393823,0.07408619,0.075455606,0.09072077,0.0645926,0.07466352,0.04805535,0.1910153,0.066408336,0.0,0.06772435,0.057991385,0.05014938,0.07301688,0.06430876,0.07663864,0.04137951,0.043990612,0.074673,0.06741184,0.04350406,0.062390745,0.082217276,0.050750494
117_kit.png,0.0633508,0.06757349,0.05958885,0.05735272,0.08283776,0.06952083,0.054853857,0.066040695,0.10772133,0.09317666,0.07237315,0.07542735,0.04673785,0.24209702,0.059050858,0.06772435,-2.3841858e-07,0.07257557,0.07126665,0.096497834,0.051085234,0.06558466,0.050338745,0.0623219,0.08595294,0.092945755,0.06347519,0.089316964,0.07763994,0.061524272
119_kit.png,0.048102796,0.07043159,0.053257763,0.10444468,0.12283105,0.06495142,0.077546835,0.085641265,0.11130148,0.110492826,0.06704068,0.07190335,0.06257808,0.2099694,0.076818705,0.057991385,0.07257557,-2.3841858e-07,0.0680567,0.08174634,0.071264565,0.09613758,0.048705697,0.059338927,0.07123852,0.07065785,0.046204686,0.073391974,0.08216393,0.07868153
120_kit.png,0.034756184,0.0876053,0.06234324,0.0614177,0.10706085,0.06846303,0.067159,0.064882815,0.09128487,0.10971129,0.08382285,0.0845294,0.066094875,0.21061403,0.06494576,0.05014938,0.07126665,0.0680567,0.0,0.08929002,0.08884895,0.078357816,0.037705183,0.060958743,0.08087671,0.06707156,0.061597466,0.05522698,0.097198665,0.06720853
121_kit.png,0.07383752,0.103208065,0.06825781,0.107201636,0.10765165,0.07479626,0.084132195,0.07125378,0.08713144,0.1382612,0.10557741,0.087097764,0.08008599,0.22344029,0.07022512,0.07301688,0.096497834,0.08174634,0.08929002,1.7881393e-07,0.09070271,0.06753594,0.06339729,0.07070142,0.06679094,0.09718484,0.08886325,0.07290256,0.08319342,0.10607171
122_kit.png,0.07395148,0.06323832,0.055474877,0.0951041,0.10251778,0.06696105,0.06433451,0.09769851,0.12575638,0.096847594,0.06998813,0.060310125,0.045590043,0.24199772,0.088269055,0.06430876,0.051085234,0.071264565,0.08884895,0.09070271,1.1920929e-07,0.07997304,0.060322046,0.0606879,0.07761574,0.08402711,0.062805295,0.09945381,0.11281645,0.07463038
123_kit.png,0.06586164,0.07253027,0.068379164,0.0739367,0.09386158,0.05440247,0.059075236,0.075745225,0.06774807,0.102039516,0.086636245,0.091861844,0.069471955,0.19528425,0.06704897,0.07663864,0.06558466,0.09613758,0.078357816,0.06753594,0.07997304,-1.1920929e-07,0.061984062,0.061573565,0.0686847,0.089217186,0.08670449,0.061244965,0.097638845,0.07677925
