,101_kit.png,102_kit.png,103_kit.png,104_kit.png,105_kit.png,106_kit.png,107_kit.png,108_kit.png,109_kit.png,110_kit.png,111_kit1.png,111_kit2.png,112_kit.png,113_kit.png,114_kit.png,115_kit.png,116_kit.png,117_kit.png,118_kit.png,119_kit.png,120_kit.png,121_kit.png,122_kit.png,123_kit.png,123_kit2.png,124_kit.png,126_kit.png,127_kit1.png,127_kit2.png,128_kit.png,129_kit.png,130_kit.png,132_kit.png,133_kit.png
101_kit.png,-1.1920929e-07,0.119372666,0.0963915,0.133115,0.11361027,0.11303049,0.109265625,0.14539826,0.09369975,0.10282719,0.12849635,0.14645618,0.089303136,0.14891928,0.11968309,0.097925484,0.103963256,0.14996016,0.11824697,0.12428343,0.12182677,0.097317636,0.11818147,0.12678462,0.083660245,0.13879997,0.15647215,0.118444204,0.08626449,0.13066089,0.1232456,0.13379586,0.090185404,0.113981724
102_kit.png,0.119372666,-1.1920929e-07,0.102636814,0.0997628,0.084980845,0.14319813,0.11637342,0.14337641,0.09611821,0.1338743,0.06760132,0.13743067,0.11330211,0.09727484,0.11500895,0.12893301,0.1331414,0.12724876,0.13119256,0.11856246,0.1645484,0.12280172,0.08321828,0.072294116,0.082172036,0.14879239,0.13043576,0.086906075,0.11757684,0.14908165,0.12810397,0.12967455,0.11277312,0.044121265
103_kit.png,0.0963915,0.102636814,0.0,0.12317377,0.12136459,0.089846194,0.11017746,0.13695759,0.10875052,0.1062994,0.103696585,0.13318145,0.11696732,0.14092243,0.09199005,0.10399914,0.09145689,0.12338853,0.11801165,0.13721061,0.10025209,0.09113312,0.10677683,0.104675055,0.08095461,0.14302039,0.1196906,0.07908118,0.091178775,0.15399504,0.15656716,0.10654789,0.12400192,0.092821
104_kit.png,0.133115,0.0997628,0.12317377,5.9604645e-08,0.14772636,0.13096553,0.13430768,0.09679854,0.123286486,0.17748398,0.11159724,0.109978735,0.13498926,0.10255259,0.08860278,0.07745075,0.13102919,0.13366568,0.17097634,0.10671288,0.16537845,0.11442,0.11743605,0.06854552,0.10243267,0.14485276,0.13590181,0.09383559,0.116723835,0.14402103,0.15332395,0.1277268,0.12499213,0.099597156
105_kit.png,0.11361027,0.084980845,0.12136459,0.14772636,0.0,0.15339208,0.12482792,0.14922982,0.10304296,0.13465047,0.09605771,0.1395002,0.1053471,0.11347574,0.11621326,0.11567676,0.1311996,0.12615502,0.130669,0.11493194,0.14031297,0.11895293,0.11749637,0.104267836,0.104120135,0.15314591,0.13295579,0.09987903,0.10192567,0.15524101,0.1113739,0.1417194,0.12806427,0.106006086
106_kit.png,0.11303049,0.14319813,0.089846194,0.13096553,0.15339208,-1.1920929e-07,0.1404739,0.154742,0.11986101,0.101766944,0.1332627,0.13219452,0.13063896,0.17424774,0.12951285,0.11285353,0.11414057,0.12590039,0.09837997,0.14447975,0.13804269,0.08169836,0.096870184,0.14325166,0.10585052,0.14514542,0.16748518,0.10568857,0.10574782,0.17226398,0.1650331,0.09392774,0.14539433,0.12366092
107_kit.png,0.109265625,0.11637342,0.11017746,0.13430768,0.12482792,0.1404739,-2.3841858e-07,0.12616205,0.10736638,0.09907913,0.115149856,0.13521624,0.109410286,0.122860074,0.117831886,0.11584163,0.08578837,0.1462912,0.13099962,0.11877239,0.12562984,0.10801643,0.11325961,0.09995431,0.100042224,0.12585574,0.12686157,0.11681324,0.102371216,0.1121698,0.112906575,0.14020461,0.12477571,0.115795314
108_kit.png,0.14539826,0.14337641,0.13695759,0.09679854,0.14922982,0.154742,0.12616205,0.0,0.13360113,0.15109414,0.1307863,0.0980733,0.1362508,0.092291355,0.06305224,0.09759015,0.14399856,0.14492446,0.18151653,0.08678728,0.15718526,0.14729357,0.12318957,0.1255191,0.11282766,0.10828936,0.13032496,0.11195266,0.104797244,0.15043414,0.14180732,0.1508584,0.14785135,0.14633167
109_kit.png,0.09369975,0.09611821,0.10875052,0.123286486,0.10304296,0.11986101,0.10736638,0.13360113,1.1920929e-07,0.12073612,0.13454497,0.12135607,0.07381189,0.10095215,0.09181613,0.09882748,0.11821008,0.110738635,0.13364464,0.13806301,0.0984233,0.08002913,0.10016495,0.116773665,0.09080392,0.1318857,0.14168751,0.089868665,0.093346715,0.13148832,0.109282136,0.1106931,0.09554976,0.11730623
110_kit.png,0.10282719,0.1338743,0.1062994,0.17748398,0.13465047,0.101766944,0.09907913,0.15109414,0.12073612,-1.1920929e-07,0.11677539,0.14185321,0.13271701,0.14163983,0.15832603,0.1327275,0.124646306,0.10850072,0.07804692,0.148467,0.13419378,0.106390595,0.10409069,0.1485591,0.12171364,0.14803559,0.14160258,0.12850463,0.107510805,0.14799356,0.118068755,0.1091733,0.13686186,0.13032663
