id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24,object_25
101,cabinet,glass door,basket,shelf,fridge,kitchen island,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,plant,stove,,,,,,,,
102,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,plant,stove,
103,cabinet,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,counter,cabinet,oven,shelf,,,,,,,,
104,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,plant,,,,
105,cabinet,glass door,shelf,fridge,kitchen island,bowl,fruit,plate,vegetable,vase,plant,chair,shelf,oven,,,,,,,,,,,
106,cabinet,glass door,shelf,fridge,kitchen island,sink,chair,door,counter,cabinet,oven,microwave,shelf,plant,stove,extractor hood,,,,,,,,,
107,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,plant,,,,
108,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,stove,,
109,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,stove,,,
110,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood
111,cabinet,glass door,basket,shelf,fridge,kitchen island,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,plant,,,,,,,,,
112,cabinet,glass door,basket,shelf,fridge,kitchen island,chair,lamp,door,counter,cabinet,shelf,,,,,,,,,,,,,
113,shelf,fridge,kitchen island,sink,chair,door,counter,cabinet,oven,microwave,shelf,stove,extractor hood,,,,,,,,,,,,
114,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,,,,,
115,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,plant,stove,extractor hood,,
116,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,kitchen utensil,stove,extractor hood,
117,cabinet,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,stove,,,,,
119,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,stove,,,,
120,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,stove,,,,,
121,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,stove,,,,
122,shelf,fridge,kitchen island,chair,lamp,door,counter,cabinet,oven,microwave,stove,,,,,,,,,,,,,,
123,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,stove,,,
124,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,,,,,
126,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,counter,cabinet,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,
127,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,cabinet,oven,microwave,shelf,plant,stove,extractor hood,,,,,,
128,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,,,,
129,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,stove,shelf,,,
130,cabinet,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,,,,,,,
132,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,stove,shelf,,,
133,cabinet,glass door,basket,shelf,fridge,kitchen island,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,cabinet,oven,microwave,shelf,stove,,,
