id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16
101,door,extractor hood,table,plate,chair,rug,fridge,sink,oven,stove,shelf,kitchen utensil,cup,bottle,plate,
102,counter,cabinet,stove,oven,extractor hood,table,plate,chair,lamp,sink,window,bin,,,,
103,shelf,cabinet,sink,kitchen island,stove,plate,pot,chair,fridge,,,,,,,
104,counter,oven,sink,window,table,chair,fridge,bin,shelf,,,,,,,
105,counter,cabinet,toaster,microwave,stove,extractor hood,dishwasher,washing machine,window,,,,,,,
106,shelf,oven,microwave,fridge,sink,dishwasher,window,stove,cabinet,,,,,,,
107,fridge,cabinet,counter,stove,kitchen utensil,oven,lamp,bottle,sink,table,plate,bottle,chair,TV,,
108,counter,stove,fridge,rug,window,table,chair,lamp,counter,sink,cabinet,,,,,
109,counter,cabinet,kettle,rice cooker,coffee machine,window,table,plate,flower,sink,stove,,,,,
110,counter,mixer,kettle,window,oven,stove,sink,plate,microwave,,,,,,,
111,table,plate,chair,oven,stove,cabinet,dishwasher,cabinet,plate,cup,sink,gas bottle,bin,,,
112,counter,cabinet,rice cooker,pot,window,bin,sink,stove,oven,,,,,,,
113,counter,cabinet,sink,shelf,dish,window,stove,fridge,tiled floor,,,,,,,
114,window,curtain,fridge,stove,clock,chair,table,,,,,,,,,
115,cabinet,painting,window,curtain,kitchen island,stove,sink,fridge,counter,,,,,,,
116,fridge,lamp,table,chair,counter,microwave,knife holder,stove,extractor hood,kitchen island,cutting board,knife,sink,door,,
117,counter,mixer,kettle,cabinet,stove,extractor hood,oven,cutting board,microwave,sink,,,,,,
119,table,vase,flower,bowl,chair,fridge,counter,kettle,stove,oven,extractor hood,pot,cabinet,sink,window,bin
120,sink,cabinet,shelf,counter,stove,oven,table,plate,chair,,,,,,,
121,cabinet,sink,bottle,fridge,table,plate,chair,stove,cabinet,,,,,,,
122,cabinet,counter,stove,window,sink,fridge,,,,,,,,,,
123,counter,oven,stove,extractor hood,cabinet,lamp,dish,fridge,,,,,,,,
124,counter,microwave,stove,extractor hood,oven,table,plate,chair,kettle,sink,fridge,window,,,,
126,window,bin,fridge,cabinet,stove,oven,cup,sink,table,chair,,,,,,
127,fridge,counter,stove,oven,cabinet,extractor hood,sink,table,chair,,,,,,,
128,fridge,table,plate,shelf,pot,cup,stove,sink,washing machine,,,,,,,
129,counter,cabinet,sink,shelf,dish,kettle,stove,microwave,oven,fridge,table,chair,,,,
130,counter,extractor hood,stove,oven,sink,window,fridge,table,chair,plate,clock,,,,,
132,counter,stove,oven,can,shelf,cup,dish,picture,microwave,fridge,,,,,,
133,shelf,door,fridge,counter,cabinet,box,dishwasher,sink,light,table,chair,bowl,,,,
