subject,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8,obj9,obj10,obj11,obj12,obj13,obj14,obj15,obj16,obj17,obj18,obj19
labelme_sfxiulhjbhlyiyt.png,bathtub,bottle,mirror,shelf,showerhead,sink,soap dispenser,soap dish,toilet,toilet paper,towel rack,,,,,,,,,,
sun_aapitsgbtktqubfy.png,bathtub,cabinet,faucet,flower,light fixture,mirror,shower curtain,sink,soap dish,toilet,towel,window,,,,,,,
sun_aavhrsfjbserjtht.png,basket,bathtub,bottle,door,mirror,painting,rug,shower,stool,,,,,,,,,,
sun_abapwbhyhkfixyex.png,bathtub,blind,cabinet,door,faucet,light fixture,mirror,shelf,shower door,sink,towel rack,window,,,,,,,
sun_abjtwfukuwddzted.png,grab bar,mirror,shelf,sink,soap dispenser,toilet,toilet paper,towel dispenser,,,,,,,,,,,
sun_acduarbnmmoglmiv.png,basket,bottle,bowl,brush,faucet,hamper,jar,mirror,sculpture,shelf,sink,soap,toilet,toilet paper,towel,trash can,vase,window,
sun_acegryoqftbzowsg.png,bathtub,candle,faucet,mirror,plant,rack,sink,toilet,vanity,window,,,,,,,,,
sun_acgyywnybuveqsro.png,showerhead,sink,soap dish,toilet,toilet paper dispenser,towel,towel rack,vanity,,,,,,,,,,,
sun_aclfzgynxzxlbepz.png,artwork,bathtub,curtain,grab bar,magazine rack,mat,sink,toilet,toilet paper,window,,,,,,,,,
sun_afcoljnjfoxjtgja.png,bathtub,cabinet,curtain,shower,soap dispenser,tile,towel,window,,,,,,,,,,,
sun_aggnnqpdorgxpvce.png,bathtub,cabinet,chandelier,lamp,mirror,sink,vanity,window,,,,,,,,,,,
sun_agguqiubmwhqqunb.png,ashtray,bathtub,bottle,cabinet,faucet,mirror,shelf,sink,soap dispenser,tissue box,towel,,,,,,,,
sun_aghyqhbptboemmoq.png,bathtub,faucet,mirror,pedestal,picture,sink,toilet,toilet brush,toilet seat,towel,towel rack,trash can,vent,,,,,,
sun_agrwbmhcpmfuwmsg.png,air freshener,faucet,outlet,shelf,sink,tissue box,toilet,towel,towel rack,,,,,,,,,,
sun_agyqfjcfkdcydepw.png,bathtub,bench,bottle,candelabra,candle,curtain,faucet,mirror,shelf,shower,sink,soap dispenser,towel,towel rack,,,,,
sun_ahaulkltgpkeeemi.png,bathtub,curtain,faucet,radiator,shelf,sink,towel,washing machine,window,,,,,,,,,,
sun_ahcvzmoyaycdoftf.png,mirror,shower,sink,toilet,toilet brush,toilet paper,towel,towel rack,trash can,vanity,window,,,,,,,,
