subject,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8,obj9,obj10,obj11,obj12,obj13,obj14,obj15,obj16,obj17,obj18,obj19,obj20
labelme_brsyyvweiuaazfr.png,blinds,bowl,cabinet,chair,dish,faucet,painting,paper,pot,refrigerator,sink,stool,stove,table,window,,,,,
labelme_kxvouciolcpqplr.png,appliance,cabinet,countertop,door,faucet,fixture,microwave,oven,refrigerator,shelf,sink,tripod,,,,,,,,
labelme_rykdqxenmhulbdn.png,book,cabinet,cup,dishwasher,faucet,plate,refrigerator,shelf,sink,utensil,,,,,,,,,,
sun_aadbddgrdsjugojn.png,cabinet,chair,curtain,door,lamp,oven,shelf,table,tile,utensil holder,window,,,,,,,,,
sun_aamedkxepzlwuxes.png,appliance,bouquet,cabinet,dispenser,drawer,jar,knife block,mixer,stove,telephone,toaster,,,,,,,,,
sun_aapllqyqlykszopd.png,cabinet,chair,dishwasher,door,light fixture,oven,plant,sink,stovetop,table,window,,,,,,,,,
sun_aarfiyshqohlwkmo.png,cabinet,chair,dishwasher,door,faucet,hat,hook,light fixture,picture,platter,sink,table,trash can,tree,window,,,,,
sun_aaxxjlsuzvqlgylf.png,cabinet,coffee maker,dishwasher,faucet,oven,plant,refrigerator,sink,toaster,vent hood,,,,,,,,,,
sun_abdenxonkemggwsq.png,appliance,bottle,cabinet,candle,countertop,faucet,kitchen island,painting,pendant light,range hood,refrigerator,sculpture,sink,stove,tile,vase,,,,
sun_abdxkyyxwfskuaqb.png,backsplash,basket,bowl,cabinet,chair,countertop,curtain,jar,microwave,plant,plate,refrigerator,rug,stove,vase,,,,,
sun_abftihopvusyfakt.png,bowl,cabinet,dishwasher,faucet,island,microwave,oven,range,range hood,refrigerator,sink,wall clock,,,,,,,,
sun_abpwyqmlzafvklqo.png,air vent,appliance,bowl,cabinet,coffee maker,container,door,faucet,microwave,oven,refrigerator,sink,,,,,,,,
sun_abrcnpqqhmjwekyf.png,blind,cabinet,dish rack,faucet,kettle,microwave,oven,range hood,sink,toaster,window,,,,,,,,,
sun_acfmftudsenhrfhy.png,appliance,cabinet,coffee maker,countertop,decoration,dishware,faucet,fixture,kettle,microwave,picture,pitcher,refrigerator,shelf,sink,wine rack,,,,
sun_acgtpgfybqjmzeyw.png,cabinet,faucet,jar,knife block,microwave,refrigerator,scale,shelf,sink,toaster,utensil,window,,,,,,,,
sun_acwjdupvyjsugpay.png,cabinet,coffee maker,countertop,door,faucet,microwave,refrigerator,sink,,,,,,,,,,,,
sun_acxkpeoqbwcxfvip.png,cabinet,chair,clock,couch,faucet,lamp,microwave,oven,refrigerator,sink,stove,table,wall fixture,,,,,,,
sun_adgqasybjyktddhj.png,cabinet,chair,cupboard,drawer,kettle,oven,stove,table,teapot,toaster,vase,,,,,,,,,
sun_admlmbcdswaszruo.png,bottle,cabinet,canister,dishwasher,food processor,oven,plant,plate,pot,sink,stove,window,,,,,,,,
sun_aegoxogugdkwpmpj.png,basket,cabinet,chair,counter,dishwasher,door,fan,lamp,mixer,picture,plate rack,pot,pot rack,rug,shelf,star,stool,stove,toaster,window
sun_aehawpgmrlhlvcow.png,backsplash,cabinet,countertop,drawer,hood,island,lamp,light,microwave,refrigerator,stovetop,window,,,,,,,,
sun_aenotlpyftoioydp.png,cabinet,chair,countertop,door,microwave,plant,refrigerator,sink,window,,,,,,,,,,,
sun_aeqdocilnnpuvuhx.png,cabinet,chair,oven,refrigerator,table,window,,,,,,,,,,,,,,
sun_aexklacwqwezaorf.png,cabinet,clock,lamp,microwave,oven,refrigerator,shelf,sink,sofa,stovetop,television,wine bottle,wine glass,,,,,,,
sun_afuyedyxivkhecmu.png,cabinet,clock,door,grapes,lamp,microwave,phone,plate,sink,stove,vase,wine glass,,,,,,,,
sun_aggjlwcdjsjcaemh.png,cabinet,drawer,faucet,glass,microwave,pot,sink,soap dispenser,switch,television,window,,,,,,,,,
sun_agorklincwxrdtga.png,appliance,backsplash,blind,book,bowl,cabinet,canister,countertop,door,doorframe,faucet,island,paper towel holder,range,range hood,shelf,sink,,,
sun_agubuxuukhzyzpdp.png,appliance,cabinet,faucet,floor,lamp,microwave,plant,refrigerator,sink,,,,,,,,,,,
sun_agzzivivdpnawacl.png,cabinet,coffee maker,door,dryer,faucet,lamp,microwave,refrigerator,sink,stovetop,washing machine,window,,,,,,,,
sun_ahdycvpopffkzzsu.png,appliance,bottle,cabinet,chair,faucet,rack,range hood,sink,stovetop,vent,window,,,,,,,,,
sun_ahljzhgcdpomplvg.png,cabinet,faucet,island,microwave,refrigerator,sink,stool,stove,,,,,,,,,,,,
sun_ahpczsiumwwocjkv.png,cabinet,coffee maker,countertop,faucet,flower,island,oven,refrigerator,sink,stove,tree,vase,window,,,,,,,
sun_ahspylgoovwmwvgk.png,cabinet,faucet,hood,oven,shelf,sink,window,,,,,,,,,,,,,
sun_ahywdevtimnqcsln.png,bottle,bowl,cabinet,dish,mat,microwave,plant,refrigerator,sink,stove,,,,,,,,,,
sun_aixorpehvfykdynp.png,bottle,cabinet,countertop,dishwasher,door,faucet,light fixture,microwave,refrigerator,sink,stove,,,,,,,,,
sun_ajcbwwvdlsvjyzje.png,appliance,basket,cabinet,dishwasher,fruit,knife block,microwave,rug,sink,stool,stove,table,teapot,toaster,,,,,,
sun_ajkqhtgcbgpcwrwn.png,basket,bowl,cabinet,canister,cutting board,door,drawer,glass,microwave,oven mitt,refrigerator,shelf,toaster,wall,,,,,,
sun_akchetnepxlcxhsu.png,bottle,bowl,box,cabinet,can,chair,curtain,faucet,jar,jug,kettle,oven,plate,shelf,sink,soap,table,toaster,window,
sun_akcjzhbbjlbogpdi.png,appliance,bowl,cabinet,candle,canister,ceiling light,chair,countertop,door,hanging plant,railing,table,,,,,,,,
sun_amjjdeyrggfqgmom.png,blind,cabinet,countertop,dishwasher,faucet,island,microwave,range hood,refrigerator,sink,stove,window,,,,,,,,
sun_aqeaevwwwjoqhzvl.png,a kitchen is visible in the image. the objects visible from left tothe image depicts a kitchen. from left to right,cabinet,countertop,faucet,shelf,sink,the visible objects are: cabinets,,,,,,,,,,,,,
sun_auaiucuqpdausiva.png,bowl,cabinet,chair,countertop,door,floor,fruit,pendant light,range,table,tile,vase,window,,,,,,,
sun_aunzlwrbjumxhwdj.png,bib,box,bread pan,chair,coffee pot,door,high chair,picture frame,pie,pot,skillet,stove,table,toaster,waffle iron,window,,,,
sun_auticobqsbwgoppi.png,cabinet,container,door,faucet,hood,microwave,pot,rack,refrigerator,rice cooker,sink,stove,,,,,,,,
sun_avszsnwsbuqfgzbn.png,bottle,bowl,cabinet,chair,faucet,island,light,oven,plant,rack,refrigerator,sink,stool,stove,,,,,,
sun_awcpdzzznmweyyhv.png,appliance,cabinet,coffee maker,counter,decoration,kettle,lamp,microwave,outlet,oven,painting,refrigerator,rug,sculpture,sink,table,wall,,,
sun_axyyrmzcupyhlivc.png,appliance,basket,cabinet,chair,clock,dishwasher,faucet,paper towel dispenser,rug,sink,table,toaster,window,,,,,,,
sun_aymvwlarqodbwuoc.png,cabinet,ceiling fan,chandelier,countertop,dishwasher,faucet,pendant light,sink,stove,tile,vent hood,wallpaper,window,,,,,,,
sun_aypmqwcualkenuoe.png,cabinet,chair,faucet,flower,fruit,lamp,picture,pot rack,shelf,sink,table,window,,,,,,,,
sun_azmutvzbxypaceni.png,cabinet,countertop,dishwasher,faucet,light switch,microwave,pendant light,refrigerator,sink,window,,,,,,,,,,
